"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"SaECG: a new FHIR Data format revision to enable continuous ECG storage and monitoring","A. Benhamida; A. Kanas; M. Vincze; K. T. Papp; M. Abbassi; M. Kozlovszky","Doctoral School of Applied Informatics and Applied Mathematics, BioTech Research Center, EKIK, Óbuda University, Budapest, Hungary; BioTech Research Center, EKIK, Óbuda University, Budapest, Hungary; BioTech Research Center, EKIK, Óbuda University, Budapest, Hungary; BioTech Research Center, EKIK, Óbuda University, Budapest, Hungary; BioTech Research Center, EKIK, Óbuda University, Budapest, Hungary; John von Neumann Faculty of Informatics, Institute of Biomatics, Óbuda University, Budapest, Hungary",2020 IEEE 20th International Symposium on Computational Intelligence and Informatics (CINTI),"8 Jan 2021","2020","","","000115","000120","Information Technologies are enabling integrated healthcare processes with effective information exchange between the patient and the medical professionals. ECG is one of the key human vital signs, used by a vast number of clinicians. Fast Healthcare Interoperability Resources (FHIR) created by Health Level Seven International (HL7), Digital Imaging and Communications in Medicine (DICOM), and Standard communications protocol for computer assisted electrocardiography (SCP-ECG) are representing major digital health-data archiving standards. Most of these standards are using XML-based/JSON-based or binary formats. The interoperability and compatibility between the various ECG formats are valid problems since many years. ECG monitoring is a challenging process due to many factors such as time limitation, data size, or device dependent parameters such as the number of used parallel sampling channels. Nowadays' portable and wearable devices with non-invasive single-lead ECG capability are able to provide continuous long-term ECG data streaming that can last for many hours or even for weeks of monitoring. Available standards enable ECG data storage for a limited time, lasting from 30 seconds up to few minutes. FHIR is a medical data storage standard by HL7 for health data storage and exchange. In this paper, we propose a new FHIR (HL7-aECG) extension format for stream-like ECG, namely Stream-enabled annotated ECG (SaECG). The new format is validated successfully in our living lab and is capable to be used easily both by clinicians and researchers.","2471-9269","978-1-7281-8340-4","10.1109/CINTI51262.2020.9305828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9305828","ECG;HL7;FHIR;streaming data;aECG;Monitoring;continuous vital sign monitoring","Electrocardiography;Standards;Monitoring;XML;Memory;Interoperability;DICOM","","11","","14","IEEE","8 Jan 2021","","","IEEE","IEEE Conferences"
"Providing Full Semantic Interoperability for the Fast Healthcare Interoperability Resources Schemas with Resource Description Framework","M. P. Luz; J. Rocha de Matos Nogueira; L. T. Cavalini; T. W. Cook","Medical Sciences College, Rio de Janeiro State University, Rio de Janeiro, Brazil; MLHIM Technol. Dev. Unit, Universidade do Estado do Rio de Janeiro, Rio de Janeiro, RJ, BR; Department of Healthcare Information Technology, Rio de Janeiro State University, Rio de Janeiro, Brazil; Emergent Group for Research and Innovation on Healthcare Information Technology, Rio de Janeiro State University, Rio de Janeiro, Brazil",2015 International Conference on Healthcare Informatics,"10 Dec 2015","2015","","","463","466","The Fast Healthcare Interoperability Resources (FHIR) is an open suite of specifications and software implementations of the Health Level 7 version 3 (HL7v3) standard. It has been proposed to provide a consistent API for the HL7v3 CDA. However, the core issues of HL7v3 are not solved at the API level. The community around the project are proposing the adoption of RDF technologies to overcome the current challenges in interoperating with linked data. However, RDF triples nor ontologies provide semantic interoperability by themselves, a more robust information infrastructure, such as the Multilevel Model-Driven (MMD) approach, is required. An XML implementation of the MMD was used to model the FHIR Schemas as Domain Models (DMs) against a generic Reference Model (RM) to provide syntactic validation. RDF triples were included in the domain models to provide missing semantics. The XML data instances were validated against their Domain Models. The DMs do not create any new types, they only express constraints of the RM types, this provides consistent query and data analysis capability across all DMs. RDF triples were extracted from the DMs and added to a triple store graph with the RM ontology. The XML data is also expressed as Literals in the graph. This study shows the feasibility of using MMD solutions to provide full operational semantic interoperability for the FHIR ecosystem.","","978-1-4673-9548-9","10.1109/ICHI.2015.74","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7349736","Health information systems;Information exchange;Health Level 7","Semantics;Medical services;Resource description framework;XML;Interoperability;Data models;Charge coupled devices","","11","","12","IEEE","10 Dec 2015","","","IEEE","IEEE Conferences"
"A FHIR-compliant Application for Multi-Site and Multi-Modality Pediatric Scoliosis Patient Rehabilitation","W. Shi; F. O. Giuste; Y. Zhu; A. M. Carpenter; H. J. Iwinski; C. Hilton; J. M. Wattenbarger; M. D. Wang","Georgia Institute of Technology, Atlanta, GA, USA; Georgia Institute of Technology, Atlanta, GA, USA; Georgia Institute of Technology, Atlanta, GA, USA; Georgia Institute of Technology, Atlanta, GA, USA; Georgia Institute of Technology, Atlanta, GA, USA; Georgia Institute of Technology, Atlanta, GA, USA; Georgia Institute of Technology, Atlanta, GA, USA; Georgia Institute of Technology, Atlanta, GA, USA",2021 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"14 Jan 2022","2021","","","1524","1527","Scoliosis is a spinal curvature that most frequently affects adolescents. Posterior spinal fusion surgery is required to correct the deformity in patients with severe scoliosis. Surgeons frequently use radiographic measurements and patient reported outcomes to aid in surgical treatment and monitor patient rehabilitation. Shriners Hospitals for Children is a large healthcare system caring for a significant percentage of pediatric patients with scoliosis. Surgeons from SHC-Greenville and SHC-Lexington have recorded data from more than 1,000 individual scoliosis patients. However, these collected data are usually dispersed across individual healthcare sites, necessitating the development of an integrated clinical data repository for data sharing and management. In this paper, we established a standardized research data repository with FHIR resources to harmonize multi-modal patient data from multiple clinical sites. Additionally, a FHIR-compliant application with a web-based user interface was prototyped to enable clinicians and researchers to access scoliosis patient data within our integrated and standardized research repository. Patient cohort definitions can be used to search these records using the same FHIR application. This standardized data-sharing framework and healthcare information system can be applied to multi-site and multimodality studies for clinical and research purposes, with the ultimate goal of improving the quality of patient care.","","978-1-6654-0126-5","10.1109/BIBM52615.2021.9669649","Shriners Hospitals for Children; Microsoft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9669649","FHIR;Data Harmonization;ETL;Application Development;Scoliosis Patient Care","Decision support systems;Pediatrics;Hospitals;Surgery;Imaging;Patient rehabilitation;Planning","","9","","4","IEEE","14 Jan 2022","","","IEEE","IEEE Conferences"
"Safety Improvement for SMART on FHIR Apps with Data Quality by Contract","J. -P. Stoldt; J. H. Weber","Department of Computer Science, University of Victoria, Victoria, BC, Canada; Department of Computer Science, University of Victoria, Victoria, BC, Canada",2020 IEEE International Conference on Software Architecture Companion (ICSA-C),"19 May 2020","2020","","","192","195","Initiatives leveraging the emerging SMART on FHIR standard are promising healthcare system improvements while reducing information technology costs with reusable system components. Previously closed Electronic Medical Record systems are gradually opened to third party applications through FHIR-enabled APIs. While this allows for technical interoperability, patient safety concerns from data quality issues with the underlying system data remain unsolved. We propose to apply a “Data Quality by Contract” approach to pre- and post-conditions of data use cases to assure safe operation of SMART on FHIR apps. We demonstrate how a cardiac risk scoring app could leverage data quality probes to validate several data quality concerns.","","978-1-7281-7415-0","10.1109/ICSA-C50368.2020.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9095642","SMART on FHIR;data quality;safety;electronic medical records;software engineering;health information systems","Probes;Data integrity;Diabetes;Safety;Standards;Contracts","","6","","28","IEEE","19 May 2020","","","IEEE","IEEE Conferences"
"Opioid2FHIR: A system for extracting FHIR-compatible opioid prescriptions from clinical text","J. Wang; W. C. Mathews; H. A. Pham; H. Xu; Y. Zhang","Melax Technologies, Inc, Houston, USA; UC San Diego Health, San Diego, USA; Melax Technologies, Inc, Houston, USA; Health Science Center at Houston2, University of Texas, Houston, USA; Melax Technologies, Inc, Houston, USA",2020 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"13 Jan 2021","2020","","","1748","1751","Background: The opioid crisis is a national public health emergency in US. Especially, prescription opioids contributed significantly to drug overdose deaths. To improve the surveillance of prescription opioid overdose, it is critical to accurately collect prescription opioid information and calculate morphine milligram equivalents (MMEs). However, plenty of detailed information is only contained in the free text Sig component of electronic health record (EHR) prescriptions and need to be extracted first. Moreover, it is also indispensable to normalize opioid information extracted from multiple heath care facilities to clinical data standards such as Fast Healthcare Interoperability Resources (FHIR) for efficient clinical decision support. However, few efforts are spent in this direction at present. Methods: In this study, we designed and implemented a system that can automatically extract opioid information from free text in Sig and map them to FHIR. The system, named as Opioid2FHIR, applied multiple natural language processing (NLP) techniques for opioid information extraction and normalization. In order to reduce manual efforts, a general-purpose medication IE model was first leveraged. Based on 1, 000 opioid prescription records randomly selected from MIMICIII, post-processing rules were designed to adapt the IE model to opioid medications. Concept normalization models were also built to transform and map the extracted medication elements to fine-granular standard concepts in FHIR. The system was evaluated on another 1, 000 opioid prescription records in MIMICIII. Results: Opioid2FHIR obtained an F-measure of 0.963 for medication information extraction and an accuracy of 0.987 for medical concept normalization. Conclusions: A clinical NLP application to EHR opioid scripts would fill a current gap in available batch script processing tools and would greatly enhance individual prescription processing limitations of prescription drug monitoring programs and clinical MME calculators.","","978-1-7281-6215-7","10.1109/BIBM49941.2020.9313258","National Center for Advancing Translational Sciences; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9313258","Opioid prescription;medication information extraction;Fast Healthcare Interoperability Resources (FHIR);natural language processing (NLP)","Drugs;Data mining;Natural language processing;MIMICs;Unified modeling language;Task analysis;Standards","","5","","15","IEEE","13 Jan 2021","","","IEEE","IEEE Conferences"
"Patient — Physician collaboration on FHIR (Fast Healthcare Interoperability Resources)","M. L. Braunstein",Georgia Institute of Technology,2015 International Conference on Collaboration Technologies and Systems (CTS),"20 Aug 2015","2015","","","501","503","With electronic health record adoption now far advanced the focus has largely shifted to interoperability - the ability to meaningfully share data among these systems and to collect and share data with devices, sensors, apps and tools increasingly available to patients. At the same time new forms of reimbursement encourage greater collaboration among providers and their patients. These twin imperatives have led to the rapid development and adoption of FHIR (Fast Healthcare Interoperability Resources), a more facile approach to representing and sharing health data based on familiar, standard technologies widely used by other industries and a potential universal health app platform. This paper explains FHIR and the impact it will potentially have on patient-physician collaboration.","","978-1-4673-7648-8","10.1109/CTS.2015.7210457","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7210457","Fast healthcare interoperability resources;health information exchange;patient-physician collaboration;electronic health records","Medical services;Collaboration;Standards;Interoperability;Electronic medical records;Data models;Informatics","","5","","10","IEEE","20 Aug 2015","","","IEEE","IEEE Conferences"
"Local EHR management based on FHIR","O. Stan; L. Miclea","Department of Automation, Technical University of Cluj Napoca, luj, Romania; Department of Automation, Technical University of Cluj Napoca, luj, Romania","2018 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)","5 Jul 2018","2018","","","1","5","More and more medical data are digitized today, data that must be available and understood by medical entities in different geographical regions and different medical fields. FHIR is a medical standard created by the need to have a set of specifications for rigorous data exchange mechanisms between medical applications. This paper is written to demonstrate the possibility of implementing the FHIR standard in a medical application in Romania. The implementation of the functions required by a management unit of a medical unit, from registration and authentication functions to the creation of medical observations and user management, has been pursued. All application features have been built on the FHIR libraries and the specifications of this standard.","","978-1-5386-2205-6","10.1109/AQTR.2018.8402719","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8402719","EHR;FHIR;interoperability;semantic interoperability;medical data exchange","Interoperability;Standards;Medical services;XML;Databases;Data models;Unified modeling language","","4","","10","IEEE","5 Jul 2018","","","IEEE","IEEE Conferences"
"Conceptualization of an Intelligent HL7 Application based on Questionnaire Generation and Editing","R. Sfat; I. Marin; N. Goga; R. Popa; I. C. Darla; C. V. Marian","IT and Telecommunications Department, Romanian Parliament Chamber of Deputies, Bucharest, Romania; Faculty of Engineering in Foreign Languages, University POLITEHNICA of Bucharest, Bucharest, Romania; University POLITEHNICA of Bucharest, Bucharest, Romania; Faculty of Engineering in Foreign Languages, University POLITEHNICA of Bucharest, Bucharest, Romania; Faculty of Engineering in Foreign Languages, University POLITEHNICA of Bucharest, Bucharest, Romania; Faculty of Engineering in Foreign Languages, University POLITEHNICA of Bucharest, Bucharest, Romania",2021 IEEE International Black Sea Conference on Communications and Networking (BlackSeaCom),"6 Sep 2021","2021","","","1","4","Information technology evolved as the years passed by, while interoperability of healthcare information systems remains a challenge. The current paper proposes the conceptualization of a software application based on the Health Level 7 Fast Healthcare Interoperability Resources standard. The intelligent solution named Formisio incorporates the creation of questionnaires that are used to gather medical data, as well as for quantitative research purposes. The paper outlines the system architecture components and the focus was put on components which are related to front end question editor, web based and mobile questionnaire version, back-end editor logic and questions results analyzers. The questionnaires are created and stored in the HL7 FHIR Questionnaire format. The obtained results are saved as HL7 FHIR QuestionnaireResponse resources. Furthermore, medical questionnaires are generated for various types of HL7 FHIR resources.","","978-1-6654-0308-5","10.1109/BlackSeaCom52164.2021.9527847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9527847","Healthcare;questionnaire;standard;application","Systems architecture;Medical services;Software;Natural language processing;Service-oriented architecture;Servers;Speech processing","","3","","10","IEEE","6 Sep 2021","","","IEEE","IEEE Conferences"
"A FHIR based architecture of a multiprotocol IoT Home Gateway supporting dynamic plug of new devices within instrumented environments","P. Zampognaro; G. Paragliola; V. Falanga","Engineering Ingegneria Informatica S.P.A. ICT4Health Lab, Italy; ICAR- CNR, Naples, Italy; Engineering Ingegneria Informatica S.P.A. ICT4Health Lab, Italy",2021 IEEE Symposium on Computers and Communications (ISCC),"15 Dec 2021","2021","","","1","7","Internet of Things (IoT) technologies have become a milestone advancement in the digital healthcare domain, since the number of IoT medical devices is grown exponentially, and it is now anticipated that by 2020 there will be over 161 million of them connected worldwide. Therefore, in an era of continuous growth, IoT healthcare faces various challenges, such as the collection over multiple protocols (e.g, Bluetooth, MQTT, CoAP, ZigBEE etc.) the interpretation, as well as the harmonization of the data format that derive from the existing huge amounts of heterogeneous IoT medical devices. In this respect this study aims at proposing an advanced Home Gateway architecture that offers a unique data collection module, supporting direct data acquisition over multiple protocols (i.e. BLE, MQTT) and indirect data retrieval from cloud health services (i.e, GoogleFit). Moreover the solution propose a mechanism to automatically convert the original data format, carried over BLE, in HL7 FHIR by exploiting device capabilities semantic annotation implemented by means of FHIR resource as well. The adoption of such annotation enables the dynamic plug of new sensors within the instrumented environment without the need to stop and adapt the gateway. This simplifies the dynamic devices landscape customization requested by the several telemedicine applications contexts (e.g. CVD, Diabetes) and demonstrate, for the first time, a concrete example of using the FHIR standard not only (as usual) for health resources representation and storage but also as instrument to enable seamless integration of IoT devices. The proposed solution also relies on mobile phone technology which is widely adopted aiming at reducing any obstacle for a larger adoption.","2642-7389","978-1-6654-2744-9","10.1109/ISCC53001.2021.9631446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9631446","IoT;Sensors;Home Gateway;BLE;MQTT;HL7 FHIR","Cloud computing;Protocols;Medical devices;Instruments;Logic gates;Sensors;Internet of Things","","2","","10","IEEE","15 Dec 2021","","","IEEE","IEEE Conferences"
"Role-based Access Control Solution for GraphQL-based Fast Healthcare Interoperability Resources Health Application Programming Interface","M. S. Baihan","Department of Computer Science, Community College, King Saud University, Riyadh, Saudi Arabia","2022 IEEE International Conference on E-health Networking, Application & Services (HealthCom)","21 Dec 2022","2022","","","1","6","Recently, GraphQL, a query language for Application Programming Interface (API), attracts many organizations and implementers in different domains, including healthcare informatic, to utilize it as an alternative to Representational State Transfer (REST) API. It is believed that GraphQL overcomes some issues of REST API. Moreover, GraphQL is known for its security issues as identified by OWASP organization, specifically Broken Object Level Authorization (BOLA) and Broken Function Level Authorization (BFLA) which are basically access control related issues. Furthermore, to the best of our knowledge there is no solution exists, in the academia or industry, to protect GraphQL-based Fast Healthcare Interoperability Resources (FHIR) API against BOLA and BFLA. In this paper, we present a Role-based Access Control (RBAC) solution to intercept all FHIR GraphQL requests to prevent related BOLA and BFLA vulnerabilities. To prove our work, we have implemented the RBAC solution as a server interceptor based on the HAPI FHIR reference implementation. Moreover, our evaluation showed that the suggested solution introduced minimal overhead.","","978-1-6654-8016-1","10.1109/HealthCom54947.2022.9982782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9982782","FHIR;GraphQL;Access Control;RBAC;Authorization;Broken Object Level Authorization;Broken Function Level Authorization","Authorization;Industries;Medical services;Organizations;Representational state transfer;Servers;Object recognition","","1","","19","IEEE","21 Dec 2022","","","IEEE","IEEE Conferences"
"Using FHIR to develop a healthcare mobile application","G. C. Lamprinakos; A. S. Mousas; A. P. Kapsalis; D. I. Kaklamani; I. S. Venieris; A. D. Boufis; P. D. Karmiris; S. G. Mantzouratos","School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; School of Applied Mathematical and Physical Sciences, National Technical University of Athens, Athens, Greece; School of Applied Mathematical and Physical Sciences, National Technical University of Athens, Athens, Greece; School of Applied Mathematical and Physical Sciences, National Technical University of Athens, Athens, Greece",2014 4th International Conference on Wireless Mobile Communication and Healthcare - Transforming Healthcare Through Innovations in Mobile and Wireless Technologies (MOBIHEALTH),"22 Jan 2015","2014","","","132","135","Fast Healthcare Interoperability Resources (FHIR) is considered to be an emerging Health Level 7 (HL7) standard that takes advantage of the positive elements of its ancestors HL7 v2 and HL7 v3. Moreover, FHIR is based on the REST architectural style, thus being suitable for lightweight devices. This paper presents the AidIT mobile application aiming at the effective management of patients' electronic personal health records via an easy to use interface which can be accessed by multiple actors, namely the patient, the doctor and the pharmacist. We discuss the implementation benefits of using FHIR in order to integrate the mobile client and the application's server side and we also provide insights into the access control mechanisms that should govern such applications.","","978-1-63190-014-3","10.4108/Mobihealth33544.2014.7015927","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7015927","Healthcare informatics;FHIR;REST;mobile application;access control","Medical services;Mobile communication;Standards;Access control;Medical diagnostic imaging;Servers;Interoperability","","1","","9","","22 Jan 2015","","","IEEE","IEEE Conferences"
"Problem-Oriented Medical Records for Describing Care Cases Using Multi-Tenants","S. Mohammed; J. Fiaidhi; D. Sawyer","Department of Computer Science, Lakehead University, Thunder Bay, Canada; Department of Computer Science, Lakehead University, Thunder Bay, Canada; Department of Computer Science, Lakehead University, Thunder Bay, Canada","2023 3rd International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)","21 Jun 2023","2023","","","1","7","There are countless applications in healthcare for digital personal assistants helping clinicians as well as patients and their families. However, there is no conversational application to understand patient encounters and assist clinicians to describe their clinical cases in association with their medical record like the HL7 FHIR. Building such conversational service requires understanding of the charting schema used to record clinical cases in the clinical setting like the SOAP note as well as having the federated APIs to exchange messages not only between tenants (e.g. Patients and Physicians) but also with different servers including the FHIR electronic healthcare record server. In this paper we described the extension that we have added to our existing QL4POMR framework to have extended ability to represent clinical cases via the use of multi-tenants chatbots based on the SOAP note and the connectivity to the FHIR server. The extension to the QL4POMR uses the Google DialogFlow and the GraphQL-Yoga APIs. This research work is a continuation of our MITACS and NSERC funded work that has started in 2020.","","979-8-3503-9836-6","10.1109/IRASET57153.2023.10153018","NSERC DDG(grant numbers:DDG-2021-00014); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10153018","Problem-Oriented Medical Records;Conversational Chatbots;DialogFlow;GraphQL-Yoga;Multi-Tenants Chatbots;SOAP","Sociology;Chatbots;Filling;Internet;Electronic healthcare;Simple object access protocol;Servers","","","","19","IEEE","21 Jun 2023","","","IEEE","IEEE Conferences"
"Processing FHIR in modern Data Lakehouse","S. Patil; A. S. Z. A. Belloum","Department of Science, Universiteit Van Amsterdam, Amsterdam, Netherlands; Faculty of Science & Netherlands eScience Center, Universiteit Van Amsterdam, Amsterdam, Netherlands",2024 IEEE 20th International Conference on e-Science (e-Science),"20 Sep 2024","2024","","","1","7","Healthcare data exchange standard, FHIR is becoming the widely adopted standard for data exchange and storage of health data. However, there is still some learning curve involved when it comes to using the data for analytical purpose. In our research we have devised a generic approach to ingest FHIR data into tabular format that is suited for analytical purpose. Our approach reduces the learning barrier involved in processing FHIR and formatting it for secondary usage.","2325-3703","979-8-3503-6561-0","10.1109/e-Science62913.2024.10678734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10678734","FHIR;Lakehouse;Iceberg;Spark;Healthcare analytics","Codes;Process control;Production;Medical services;Manuals;Big Data applications;Sparks","","","","18","IEEE","20 Sep 2024","","","IEEE","IEEE Conferences"
"The Generation of Standardized e-Learning Content Packages from Interoperable FHIR Clinical Cases","F. B. García; J. G. Cabada; J. G. Díaz; S. Guinez-Molinos; J. L. Sierra Rodríguez","Escuela Técnica Superior de Ingeniería Informática, Universitat Politècnica de València, Valencia, Spain; Escuela Técnica Superior de Sistemás Informaticos, Universidad Politécnica de Madrid, Madrid, Spain; Biomedical Informatics Lab., School of Medicine, Universidad de Talca, Talca, Chile; Biomedical Informatics Lab., School of Medicine, Universidad de Talca, Talca, Chile; Facultad de Informática, Universidad Complutense de Madrid, Madrid, Spain",2023 IEEE 36th International Symposium on Computer-Based Medical Systems (CBMS),"17 Jul 2023","2023","","","392","397","The information produced during clinical practice is of unquestionable value from a didactic point of view. Thus, there is a need for methods to generate educational content from this information in an agile, effective, and automatable way. This paper proposes a method that transforms clinical cases coded in the HL7 clinical interoperability standard FHIR into educational content compliant with the IMS CP standard. To demonstrate the feasibility of the method, we describe an implementation using the collaborative clinical case design platform Mosaico as the FHIR case provider and the Clavy digital collection management platform to transform these FHIR cases into IMS CP e-Learning content, ready to be deployed in a Learning Management System (LMS).","2372-9198","979-8-3503-1224-9","10.1109/CBMS58004.2023.00250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10178830","Health educational standardized content;Clinical cases;Healthcare interoperable resources;data management tool","Learning management systems;Electronic learning;Collaboration;Transforms;Standards;Interoperability","","","","11","IEEE","17 Jul 2023","","","IEEE","IEEE Conferences"
"Integrating HL7 FHIR into Clinical Decision Support Systems: A Real-World Application with Pepper Humanoid Robot in Hospital During Doctor Visits","V. Šafran; S. Horvat; B. Ilijevec; I. R. Roj; V. Flis; I. Mlakar","Laboratory of Digital Signal Processing, University of Maribor, Faculty of Electrical Engineering and Computer Science, Maribor, Slovenia; Department of Thoracic Surgery, University Medical Centre Maribor, Maribor, Slovenia; Clinical Department of Abdominal and General Surgery, University Medical Centre Maribor, Maribor, Slovenia; Department of Nurses in Clinic for Surgery, University Medical Centre Maribor, Maribor, Slovenia; Clinical Department of Cardiac Surgery, University Medical Centre Maribor, Maribor, Slovenia; Laboratory of Digital Signal Processing, University of Maribor, Faculty of Electrical Engineering and Computer Science, Maribor, Slovenia",2024 9th International Conference on Mathematics and Computers in Sciences and Industry (MCSI),"1 Jan 2025","2024","","","139","145","This study explores the integration of HL7 Fast Healthcare Interoperability Resources (FHIR) into a Clinical Decision Support System (CDSS) utilizing a Pepper robot to enhance doctor visits in a hospital setting. We evaluate a real-world implementation where the Pepper robot acts as an interface for data collection from patients, clinical monitors, and hospital information systems. The CDSS leverages FHIR to seamlessly integrate this data and present it visually, aiming to improve clinical decision-making processes for doctors. Our research investigates the potential of this FHIR-based CDSS with a robot interface to optimize healthcare delivery and potentially improve patient outcomes.","2996-2056","979-8-3503-7722-4","10.1109/MCSI63438.2024.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10817749","HL7 FHIR;Clinical Decision Support System;Humanoid Robot;Hospital;Doctor Visits;Data Integration;Visualization","Decision support systems;Surveys;Hospitals;Service robots;Soft sensors;Transforms;User experience;Usability;Monitoring;Interoperability","","","","18","IEEE","1 Jan 2025","","","IEEE","IEEE Conferences"
"Designing a HL7 compatible personal health record for mobile devices","Y. Aliakbarpoor; S. Comai; G. Pozzi","Politecnico di Milano, Milano, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, Italy",2017 IEEE 3rd International Forum on Research and Technologies for Society and Industry (RTSI),"12 Oct 2017","2017","","","1","6","Personal health records (PHRs) support health self-management for any individual. Currently, smart phones and tablets are widespread among the population and can collect and visualize health data, and get home care plan instructions. In this paper we describe an Android based PHR system that guarantees technological and structural interoperability using technological and communicational standards, respectively. Grounded on the standard-based architecture by the Health Level Seven (HL7) organization, we describe a prototype implementing a HL7 compatible personal health record system. We considered some functionalities that may support the discovery of potential risk of cardiovascular diseases, the leading cause of death in industrialized countries according to the WHO (World Health Organization). This work aims at helping people raising their lives quality by participating in vital parameters' examinations. Individuals install a mobile Health app (called mHealth) on their devices and can directly exchange clinical and medical data with health care services through HL7 Fast Healthcare Interoperability Resources (FHIR). FHIR compliant JSON (Java Script Object Notation) encrypted files implement the integration architecture. Direct and standard information exchange based on a regular home care plan between a PHR system used by patients and a healthcare information system used by physicians can boost the active contribution of patients and caregivers to a safe homecare management. The proposed solution may provide faster and better care, reduce economic costs for National Health Services (NHS), and increase quality of individual's life. Moreover, by delivering healthcare services through a mobile application we can also overcome temporal and geographical barriers.","","978-1-5386-3906-1","10.1109/RTSI.2017.8065881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8065881","Personal Health record (PHR);Health Level Seven (HL7);Personal Health Record System (PHR-S);Fast Healthcare Interoperability Resources (FHIR);Regular Home Care Plan (RHCP)","Medical services;Mobile communication;Interoperability;Portals;Servers;Blood pressure","","18","","13","IEEE","12 Oct 2017","","","IEEE","IEEE Conferences"
"Leveraging Standards Based Ontological Concepts in Distributed Ledgers: A Healthcare Smart Contract Example","M. Li; L. Xia; O. Seneviratne","Rensselaer Polytechnic Institute, Troy, NY, USA; Rensselaer Polytechnic Institute, Troy, NY, USA; Rensselaer Polytechnic Institute, Troy, NY, USA",2019 IEEE International Conference on Decentralized Applications and Infrastructures (DAPPCON),"1 Aug 2019","2019","","","152","157","Sharing clinical data using Distributed Ledger Technologies (DLT) is increasing in momentum. Fast Healthcare Interoperability Resources (FHIR) standard provides a standard based shared vocabulary and widely accepted mechanisms enabling healthcare providers to share patient data across institutions. Many DLT based solutions are capitalizing on these standards to enable trustworthy electronic health record sharing among institutions. In this paper, we present our preliminary work on capturing the semantics of the FHIR standard in smart contracts. We also discuss the appropriate data to mine from transaction logs in decentralized ledgers to find any anomalies and information misuses by leveraging these standards-based ontological concepts.","","978-1-7281-1264-0","10.1109/DAPPCON.2019.00029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8783113","smart contracts;standards based knowledge representation;electronic health record sharing;anomaly detection","Standards;Smart contracts;Medical services;Access control;Organizations;Distributed ledger;Distributed databases","","10","","14","IEEE","1 Aug 2019","","","IEEE","IEEE Conferences"
