"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link"
"Abedian S.; Taucher C.; Perscha S.; Djuris M.; Hussein R.; Hanke S.","Abedian, Somayeh (57084423200); Taucher, Christian (26636107900); Perscha, Severin (59297858800); Djuris, Michael (59297889100); Hussein, Rada (57532920800); Hanke, Sten (56246089700)","57084423200; 26636107900; 59297858800; 59297889100; 57532920800; 56246089700","An In-Depth Exploration of Mapping openEHR and PGHD: A Case Study on Fitbit-Generated Data","2024","10.3233/SHTI240442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202007667&doi=10.3233%2fSHTI240442&partnerID=40&md5=c83e5b2cdc629b311f8da73cabf9b5c2"
"Anantharaman P.; Shapiro R.B.; Varadharaju V.; Locasto M.E.","Anantharaman, Prashant (57073184400); Shapiro, Rebecca bx (56112163700); Varadharaju, Vishnupriya (59131555500); Locasto, Michael E. (14024637200)","57073184400; 56112163700; 59131555500; 14024637200","A Study of Interoperability in Electronic Health Record Software","2024","10.1145/3689942.3694743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215121210&doi=10.1145%2f3689942.3694743&partnerID=40&md5=422735d339f2e01e7db1ef1933a95bae"
"Bossenko I.; Piho G.; Ivanova M.; Ross P.","Bossenko, Igor (57951337000); Piho, Gunnar (36497203700); Ivanova, Marina (59250420300); Ross, Peeter (15760838900)","57951337000; 36497203700; 59250420300; 15760838900","TermX: The semantic interoperability, knowledge management and sharing platform","2024","10.1016/j.softx.2024.101839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200647731&doi=10.1016%2fj.softx.2024.101839&partnerID=40&md5=1c09d7429ac308c7768d2ef8a63bb396"
"Milosevic Z.","Milosevic, Zoran (56370870500)","56370870500","Consumer-Centered Consent Automation in Health Information Exchange","2024","10.3233/SHTI240904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204940939&doi=10.3233%2fSHTI240904&partnerID=40&md5=6cd81b292f536166be71d86002ceedf4"
"Herres B.; Poschen C.; Knorr K.","Herres, Britta (57076869800); Poschen, Carolin (57465926700); Knorr, Konstantin (7103162650)","57076869800; 57465926700; 7103162650","Privacy-Preserving Search on Medical Data","2024","10.3233/SHTI240392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202001337&doi=10.3233%2fSHTI240392&partnerID=40&md5=06303ed4d9165c8acab84d3176f51054"
"Mazein I.; Gebhardt T.; Zinkewitz F.; Michaelis L.; Braun S.; Waltemath D.; Henkel R.; Wodke J.A.H.","Mazein, Ilya (59297720900); Gebhardt, Tom (57200688908); Zinkewitz, Felix (59297813200); Michaelis, Lea (58260279900); Braun, Sarah (59297870200); Waltemath, Dagmar (36471561200); Henkel, Ron (35104997500); Wodke, Judith A.H. (35316581300)","59297720900; 57200688908; 59297813200; 58260279900; 59297870200; 36471561200; 35104997500; 35316581300","MeDaX: A Knowledge Graph on FHIR","2024","10.3233/SHTI240423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202004447&doi=10.3233%2fSHTI240423&partnerID=40&md5=2cf25e469744ea2b4c2492bd62c9de15"
"Brieux H.F.M.; La Rosa F.; Masud J.H.B.","Brieux, Humberto Fernán Mandirola (57023866600); La Rosa, Fernando (57023448000); Masud, Jakir Hossain Bhuiyan (57192835636)","57023866600; 57023448000; 57192835636","Telemedicine Alert API Engine System for Vital Signs","2024","10.3233/SHTI240435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202003115&doi=10.3233%2fSHTI240435&partnerID=40&md5=fe896a880064c2843046d22436e8ce06"
"de Buitléir G.","de Buitléir, Gearóidín (59485901500)","59485901500","Court society in the south of Ireland, c.1430-c.1620: Evidence from the Butler bardic poems and other Irish sources","2024","10.7765/9781526177308.00010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212997810&doi=10.7765%2f9781526177308.00010&partnerID=40&md5=8ccb5fa1750cc2453c58a49eeef5f062"
"Hanji S.; Birje M.; Kumbi A.","Hanji, Savita (58489815400); Birje, Mahantesh (14631504500); Kumbi, Arun (57202207919)","58489815400; 14631504500; 57202207919","Data Harmonization in IoT-based Distributed Healthcare System: A review","2024","10.1063/5.0230206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206077470&doi=10.1063%2f5.0230206&partnerID=40&md5=a9d43d1b822cbd6494773b9645c8a948"
"Pavão J.; Bastardo R.; Rocha N.P.","Pavão, João (36456134700); Bastardo, Rute (57190672296); Rocha, Nelson Pacheco (57200143400)","36456134700; 57190672296; 57200143400","A systematic review of the use of FHIR to support clinical research, public health and medical education","2025","10.1108/DTA-11-2023-0804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202924718&doi=10.1108%2fDTA-11-2023-0804&partnerID=40&md5=cf3e3151a8bc87cb89b59b6f775ad361"
"Schweizer S.T.; Hund H.; Kurscheidt M.; Zilske C.; Böhringer J.P.; Fegeler C.","Schweizer, Simon Tobias (58264931500); Hund, Hauke (56649268200); Kurscheidt, Maximilian (57212103324); Zilske, Christoph (58264745900); Böhringer, Jan P. (59317503900); Fegeler, Christian (55844173900)","58264931500; 56649268200; 57212103324; 58264745900; 59317503900; 55844173900","Handling Complexity in Decentralized Research Networks: The Data Sharing Framework Allowlist Management Application","2024","10.3233/SHTI240841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203330947&doi=10.3233%2fSHTI240841&partnerID=40&md5=97a5808db47e75316c87d7f43141bc6f"
"Ivanova M.; Bossenko I.; Piho G.; Ross P.","Ivanova, Marina (59250420300); Bossenko, Igor (57951337000); Piho, Gunnar (36497203700); Ross, Peeter (15760838900)","59250420300; 57951337000; 36497203700; 15760838900","Comparative Analysis of Clinical Terminology Servers: A Quest for an Improved Solution","2025","10.1007/978-3-031-76368-7_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211360212&doi=10.1007%2f978-3-031-76368-7_8&partnerID=40&md5=c3a4b9581b12e40154f134acc32198c0"
"Hoffmann K.; Peng Y.; Schlosser T.; Stolze G.; Langner H.; Susky M.; Meyer T.; Ritter M.; Kowerko D.; Kakkassery V.; Wolfien M.; Sedlmayr M.","Hoffmann, Katja (57214825228); Peng, Yuan (57224206850); Schlosser, Tobias (57190281729); Stolze, Gabriel (57685923000); Langner, Holger (57212526350); Susky, Marcel (57215321840); Meyer, Trixy (57687480600); Ritter, Marc (43461621400); Kowerko, Danny (34973050200); Kakkassery, Vinodh (26323600600); Wolfien, Markus (55633497900); Sedlmayr, Martin (56043034300)","57214825228; 57224206850; 57190281729; 57685923000; 57212526350; 57215321840; 57687480600; 43461621400; 34973050200; 26323600600; 55633497900; 56043034300","Towards Standardizing Ophthalmic Data for Seamless Interoperability in Eye Care","2024","10.3233/SHTI240849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203330546&doi=10.3233%2fSHTI240849&partnerID=40&md5=b4a7a4d2b85e36acda8bae57989037cf"
"Guilbert B.; Rieu T.; Delamarre D.; Laurent F.; Serre F.; Leroy S.; Paillard E.; Le Buhan N.; Ribault A.; Cuggia M.","Guilbert, Baptiste (59297715800); Rieu, Tristan (59297774000); Delamarre, Denis (55925509100); Laurent, Frédéric (59297744700); Serre, Fanny (59297862600); Leroy, Sarah (59297834500); Paillard, Eliott (59297744800); Le Buhan, Nolwenn (59297744900); Ribault, Alain (59297806900); Cuggia, Marc (6507457425)","59297715800; 59297774000; 55925509100; 59297744700; 59297862600; 59297834500; 59297744800; 59297744900; 59297806900; 6507457425","ONCO-FAIR Project: Improving Data Interoperability in Oncology Chemotherapy Treatments for Data Reuse","2024","10.3233/SHTI240667","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202006983&doi=10.3233%2fSHTI240667&partnerID=40&md5=1104354f452221626061d6362f446304"
"Gyrard A.; Gribbon P.; Hussein R.; Abedian S.; Bonmati L.M.; Cabornero G.L.; Manias G.; Danciu G.; Dalmiani S.; Autexier S.; Nuland R.; Jendrossek M.; Avramidis I.; Alvarez E.G.","Gyrard, Amelie (54393153700); Gribbon, Philip (6603025528); Hussein, Rada (57532920800); Abedian, Somayeh (57084423200); Bonmati, Luis Marti (6504039393); Cabornero, Gibi Luisa (59297739400); Manias, George (57217107959); Danciu, Gabriel (59387501800); Dalmiani, Stefano (6603158765); Autexier, Serge (57193752568); Nuland, van Rick (59366869000); Jendrossek, Mario (57194705291); Avramidis, Ioannis (59297710800); Alvarez, Eva Garcia (57214754583)","54393153700; 6603025528; 57532920800; 57084423200; 6504039393; 59297739400; 57217107959; 59387501800; 6603158765; 57193752568; 59366869000; 57194705291; 59297710800; 57214754583","Synergies Among Health Data Projects with Cancer Use Cases Based on Health Standards","2024","10.3233/SHTI240649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202005775&doi=10.3233%2fSHTI240649&partnerID=40&md5=d6bb3c5ecaeffd36473f99f388c08a52"
"Mittendorf K.F.; Bland H.T.; Andujar J.; Celaya-Cobbs N.; Edwards C.; Gerhart M.; Hooker G.; Hubert M.; Jones S.H.; Marshall D.R.; Myers R.A.; Pratap S.; Rosenbloom S.T.; Sadeghpour A.; Wu R.R.; Orlando L.A.; Wiesner G.L.","Mittendorf, Kathleen F. (54389549400); Bland, Harris T. (58475030700); Andujar, Justin (57223635781); Celaya-Cobbs, Natasha (58563317500); Edwards, Clasherrol (56468580000); Gerhart, Meredith (57223034417); Hooker, Gillian (14009810400); Hubert, Mryia (59476520700); Jones, Sarah H. (56434967500); Marshall, Dana R. (7402186590); Myers, Rachel A. (57206933161); Pratap, Siddharth (7004661244); Rosenbloom, S. Trent (7003853908); Sadeghpour, Azita (55324188700); Wu, R. Ryanne (55811225500); Orlando, Lori A. (8128213200); Wiesner, Georgia L. (7006373826)","54389549400; 58475030700; 57223635781; 58563317500; 56468580000; 57223034417; 14009810400; 59476520700; 56434967500; 7402186590; 57206933161; 7004661244; 7003853908; 55324188700; 55811225500; 8128213200; 7006373826","Family history and cancer risk study (FOREST): A clinical trial assessing electronic patient-directed family history input for identifying patients at risk of hereditary cancer","2025","10.1016/j.cct.2024.107714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212312247&doi=10.1016%2fj.cct.2024.107714&partnerID=40&md5=111cd5a73c921cc87a18691bae9eee35"
"Kuo Z.-M.; Chen K.-F.; Tseng Y.-J.","Kuo, Zhe-Ming (58852748800); Chen, Kuan-Fu (24723434000); Tseng, Yi-Ju (36773941600)","58852748800; 24723434000; 36773941600","MoCab: A framework for the deployment of machine learning models across health information systems","2024","10.1016/j.cmpb.2024.108336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199924957&doi=10.1016%2fj.cmpb.2024.108336&partnerID=40&md5=cddbe82a473bb41120128dcf01c33763"
"Kirilov N.; Dugas M.","Kirilov, N. (57211145892); Dugas, M. (55550317000)","57211145892; 55550317000","Evaluation of technical approaches for real-time data transfer from electronic health record systems","2024","10.1016/j.cmpb.2024.108347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199255536&doi=10.1016%2fj.cmpb.2024.108347&partnerID=40&md5=ed8afb28aa14fae770fbaaacf9e72f75"
"ALMutairi M.; AlKulaib L.; Wang S.; Chen Z.; ALMutairi Y.; Alenazi T.M.; Luther K.; Lu C.-T.","ALMutairi, Mariam (59260625500); AlKulaib, Lulwah (57202916297); Wang, Shengkun (58626815500); Chen, Zhiqian (57193609343); ALMutairi, Youssif (59534369200); Alenazi, Thamer M. (57189217541); Luther, Kurt (23051459200); Lu, Chang-Tien (7404804653)","59260625500; 57202916297; 58626815500; 57193609343; 59534369200; 57189217541; 23051459200; 7404804653","FHIRViz: Multi-Agent Platform for FHIR Visualization to Advance Healthcare Analytics","2024","10.1145/3698587.3701392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216420981&doi=10.1145%2f3698587.3701392&partnerID=40&md5=54eb64ead36550708b286596fadbc2b1"
"Fecho K.; Garcia J.J.; Yi H.; Roupe G.; Krishnamurthy A.","Fecho, Karamarie (6602119784); Garcia, Juan J. (57219509470); Yi, Hong (36475918300); Roupe, Griffin (59044719100); Krishnamurthy, Ashok (25926443700)","6602119784; 57219509470; 36475918300; 59044719100; 25926443700","Erratum: Correction: FHIR PIT: a geospatial and spatiotemporal data integration pipeline to support subject-level clinical research (BMC medical informatics and decision making (2025) 25 1 DOI: 10.1186/s12911-024-02815-6.)","2025","10.1186/s12911-025-02940-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219211446&doi=10.1186%2fs12911-025-02940-w&partnerID=40&md5=c22ce0d7bf81e35b2f1d98280960b238"
"Lee P.; Mendoza D.; Kaiser M.; Lott E.; Singh G.; Grando A.","Lee, Preston (59659334000); Mendoza, Daniel (58496968300); Kaiser, Martha (59658961100); Lott, Eric (59659526300); Singh, Gagandeep (58523748700); Grando, Adela (57221839593)","59659334000; 58496968300; 59658961100; 59659526300; 58523748700; 57221839593","FHIR Granular Sensitive Data Segmentation","2025","10.1055/a-2466-4371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219084251&doi=10.1055%2fa-2466-4371&partnerID=40&md5=b299cdc9ed8f36f818e50cb6afaa94fb"
"Zhang S.; Cornet R.; Benis N.","Zhang, Shuxin (57797279700); Cornet, Ronald (57201825238); Benis, Nirupama (55097083500)","57797279700; 57201825238; 55097083500","Cross-Standard Health Data Harmonization using Semantics of Data Elements","2024","10.1038/s41597-024-04168-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212767760&doi=10.1038%2fs41597-024-04168-1&partnerID=40&md5=b60ccb39a0651db892e29b4be03f729b"
"Kirilov N.; Bischoff E.","Kirilov, Nikola (57211145892); Bischoff, E. (58534228600)","57211145892; 58534228600","Networking Aspects of the Electronic Health Records: Hypertext Transfer Protocol Version 2 (HTTP/2) vs HTTP/3","2024","10.1007/s10916-024-02080-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196012030&doi=10.1007%2fs10916-024-02080-0&partnerID=40&md5=ce7e8e87477329ee5dcc72aa3f8c7b7e"
"Ngo H.","Ngo, Hoa (58853153700)","58853153700","Building a Natural Language Interface for FHIR Clinical Terminology Server","2024","10.3233/SHTI240885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204940831&doi=10.3233%2fSHTI240885&partnerID=40&md5=2032e4d48efda81ceab80963f773a6b3"
"Sathish Kumar J.; Sanand M.V.","Sathish Kumar, J. (57199366687); Sanand, M.V. (59531338400)","57199366687; 59531338400","Applications of blockchain in healthcare: State-of-the-art survey","2025","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216252799&partnerID=40&md5=44b4b339f891989088f5eb08ea35d2cb"
"Aghaei S.; Celebi R.; Kreuzthaler M.; Schulz S.","Aghaei, Sareh (57283148000); Celebi, Remzi (16642228900); Kreuzthaler, Markus (16039723400); Schulz, Stefan (57189519350)","57283148000; 16642228900; 16039723400; 57189519350","From Clinical Information Systems to Personalized Health Knowledge Graphs","2024","10.3233/SHTI240689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202002232&doi=10.3233%2fSHTI240689&partnerID=40&md5=835ee3cf5495f15b5b2ff92982f0d8c9"
"Löbe M.; Hu X.; Klopfenstein S.A.I.","Löbe, Matthias (55938448500); Hu, Xiaoming (57221323816); Klopfenstein, Sophie A.I. (57224207090)","55938448500; 57221323816; 57224207090","Using Health IT Standards to Facilitate Metadata Exchange Between Research Data Management Systems","2024","10.3233/SHTI240676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202003286&doi=10.3233%2fSHTI240676&partnerID=40&md5=b7ccddcf2103ac68d788398ec3d707f8"
"Jamie G.; Byford R.; Wimalaratna R.; De Lusignan S.","Jamie, Gavin (57878636100); Byford, Rachel (57191486243); Wimalaratna, Rashmi (58754903800); De Lusignan, Simon (57390254700)","57878636100; 57191486243; 58754903800; 57390254700","The Creation of Intensional Medication Lists Using the NHS Dictionary of Medicines and Devices","2024","10.3233/SHTI241097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210460167&doi=10.3233%2fSHTI241097&partnerID=40&md5=0c265a722e70e52e66a350533ca75ef2"
"Rigas E.S.; Lagakis P.; Karadimas M.; Logaras E.; Latsou D.; Hatzikou M.; Poulakidas A.; Billis A.; Bamidis P.D.","Rigas, Emmanouil S. (55235701500); Lagakis, Paris (57210797542); Karadimas, Makis (59146782800); Logaras, Evangelos (15077117100); Latsou, Dimitra (55749670500); Hatzikou, Magda (55409433700); Poulakidas, Athanasios (59126878400); Billis, Antonis (7003835424); Bamidis, Panagiotis D. (6603398831)","55235701500; 57210797542; 59146782800; 15077117100; 55749670500; 55409433700; 59126878400; 7003835424; 6603398831","Semantic interoperability for an AI-based applications platform for smart hospitals using HL7 FHIR","2024","10.1016/j.jss.2024.112093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194426843&doi=10.1016%2fj.jss.2024.112093&partnerID=40&md5=4302f391d9bce9db75a5242940b0f778"
"Cramer A.E.; King L.S.; Buckley M.T.; Casteleyn P.; Ennis C.; Hamidi M.; Rodrigues G.M.C.; Snyder D.C.; Vattikola A.; Eisenstein E.L.","Cramer, Amy E. (59143294200); King, Linda S. (59194766100); Buckley, Michael T. (58142549200); Casteleyn, Peter (59194766200); Ennis, Cory (55533581100); Hamidi, Muayad (59143294000); Rodrigues, Gonçalo M.C. (59194586500); Snyder, Denise C. (55662980400); Vattikola, Aruna (57215652536); Eisenstein, Eric L. (7005737383)","59143294200; 59194766100; 58142549200; 59194766200; 55533581100; 59143294000; 59194586500; 55662980400; 57215652536; 7005737383","Defining methods to improve eSource site start-up practices","2024","10.1016/j.conctc.2024.101391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209906456&doi=10.1016%2fj.conctc.2024.101391&partnerID=40&md5=e0290b91d7b96a92476aab064cd9a6bb"
"Nopour R.; Nasiri S.; Ahmadi M.; Shirkhoda M.","Nopour, Raoof (57220634861); Nasiri, Somayeh (57903944200); Ahmadi, Maryam (35387438600); Shirkhoda, Mohammad (56605044300)","57220634861; 57903944200; 35387438600; 56605044300","Establishing core data elements for colorectal cancer and mapping to FHIR resources: Towards interoperable Iranian health information systems","2025","10.4103/jehp.jehp_1834_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217008711&doi=10.4103%2fjehp.jehp_1834_23&partnerID=40&md5=3ac636ce6427ac69243305926fd1a5c5"
"Ismaila L.E.; Turki H.; Frikha M.; Weinstein T.; Hunja F.; Fourie C.; Adeshina S.A.","Ismaila, Lukman Enegi (57207775656); Turki, Houcemeddine (57002800400); Frikha, Mohamed (57213692410); Weinstein, Taliya (59660924000); Hunja, Faith (59660509100); Fourie, Chris (59474608600); Adeshina, Steve A. (36198036600)","57207775656; 57002800400; 57213692410; 59660924000; 59660509100; 59474608600; 36198036600","AfriBiobank: Empowering Africa’s Medical Imaging Research and Practice Through Data Sharing and Governance","2025","10.1007/978-3-031-79103-1_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219173213&doi=10.1007%2f978-3-031-79103-1_20&partnerID=40&md5=f8e86560f0b17c0c00bb1eaa6d37d497"
"Dolin G.; Saitwal H.; Bertodatti K.; Mueller S.; Bierman A.S.; Suls J.; Brandt K.; Camara D.S.; Leppry S.; Jones E.; Gallego E.; Carlson D.; Norton J.","Dolin, Gay (57057763000); Saitwal, Himali (36009330900); Bertodatti, Karen (59397521100); Mueller, Savanah (57727379600); Bierman, Arlene S. (7005696313); Suls, Jerry (7005601234); Brandt, Katie (57416877800); Camara, Djibril S. (57285050800); Leppry, Stephanie (59397254100); Jones, Emma (59396870000); Gallego, Evelyn (59396870100); Carlson, Dave (59397254200); Norton, Jenna (56768881400)","57057763000; 36009330900; 59397521100; 57727379600; 7005696313; 7005601234; 57416877800; 57285050800; 59397254100; 59396870000; 59396870100; 59397254200; 56768881400","Establishing data elements and exchange standards to support long COVID healthcare and research","2024","10.1093/jamiaopen/ooae095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208259525&doi=10.1093%2fjamiaopen%2fooae095&partnerID=40&md5=0644f3e7c2e0ee41f60456355d335421"
"Torab-Miandoab A.; Basiri M.; Dabbagh-Moghaddam A.; Gholamhosseini L.","Torab-Miandoab, Amir (57195274395); Basiri, Mahdi (59556460000); Dabbagh-Moghaddam, Arasb (57195150281); Gholamhosseini, Leila (57193513558)","57195274395; 59556460000; 57195150281; 57193513558","Electronic health record in military healthcare systems: A systematic review","2025","10.1371/journal.pone.0313641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217795125&doi=10.1371%2fjournal.pone.0313641&partnerID=40&md5=6e57770b3941739d01963adbc7fbe1bf"
"Scheible R.","Scheible, Raphael (57201210392)","57201210392","PostgREST Data Provider for React-Admin: Bootstrap the creation of user interfaces on top of PostgreSQL databases","2024","10.1016/j.simpa.2024.100699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202195841&doi=10.1016%2fj.simpa.2024.100699&partnerID=40&md5=ae4704aba71c1fbce3169ef7002c96ad"
"Simon F.; Schladetzky J.; Macke S.; Ablaß T.; Ingenerf J.; Kock-Schoppenhauer A.-K.","Simon, Friedrich (59317317400); Schladetzky, Jan (58572116900); Macke, Stefanie (59318187500); Ablaß, Torge (59317666600); Ingenerf, Josef (6603276740); Kock-Schoppenhauer, Ann-Kristin (57194129811)","59317317400; 58572116900; 59318187500; 59317666600; 6603276740; 57194129811","Metadata Driven Integration of Clinical Data for Secondary Use in FHIR - A Pilot Study at the UKSH","2024","10.3233/SHTI240850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203385301&doi=10.3233%2fSHTI240850&partnerID=40&md5=2c6e95b62e3372b3f94c55a3c99e206f"
