PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29888095","i2b2 implemented over SMART-on-FHIR","Paris N, Mendis M, Daniel C, Murphy S, Tannier X, Zweigenbaum P.","AMIA Jt Summits Transl Sci Proc. 2018 May 18;2017:369-378. eCollection 2018.","Paris N","AMIA Jt Summits Transl Sci Proc","2018","2018/06/12","PMC5961782","",""
"31395530","Health Care in the Age of Interoperability Part 6: The Future of FHIR","Braunstein ML.","IEEE Pulse. 2019 Jul-Aug;10(4):25-27. doi: 10.1109/MPULS.2019.2922575.","Braunstein ML","IEEE Pulse","2019","2019/08/10","","","10.1109/MPULS.2019.2922575"
"35852842","Fast Healthcare Interoperability Resources (FHIR) for Interoperability in Health Research: Systematic Review","Vorisek CN, Lehne M, Klopfenstein SAI, Mayer PJ, Bartschke A, Haese T, Thun S.","JMIR Med Inform. 2022 Jul 19;10(7):e35724. doi: 10.2196/35724.","Vorisek CN","JMIR Med Inform","2022","2022/07/19","PMC9346559","","10.2196/35724"
"37034815","The SMART Text2FHIR Pipeline","Miller TA, McMurry AJ, Jones J, Gottlieb D, Mandl KD.","medRxiv [Preprint]. 2023 Mar 27:2023.03.21.23287499. doi: 10.1101/2023.03.21.23287499.","Miller TA","medRxiv","2023","2023/04/10","PMC10081439","","10.1101/2023.03.21.23287499"
"36729257","Creating a Medical Imaging Workflow Based on FHIR, DICOMweb, and SVG","Tang ST, Tjia V, Noga T, Febri J, Lien CY, Chu WC, Chen CY, Hsiao CH.","J Digit Imaging. 2023 Jun;36(3):794-803. doi: 10.1007/s10278-021-00522-6. Epub 2023 Feb 2.","Tang ST","J Digit Imaging","2023","2023/02/02","PMC10287854","","10.1007/s10278-021-00522-6"
"27274012","SMART-on-FHIR implemented over i2b2","Wagholikar KB, Mandel JC, Klann JG, Wattanasin N, Mendis M, Chute CG, Mandl KD, Murphy SN.","J Am Med Inform Assoc. 2017 Mar 1;24(2):398-402. doi: 10.1093/jamia/ocw079.","Wagholikar KB","J Am Med Inform Assoc","2017","2016/06/09","PMC5391721","","10.1093/jamia/ocw079"
"36076268","Pathling: analytics on FHIR","Grimes J, Szul P, Metke-Jimenez A, Lawley M, Loi K.","J Biomed Semantics. 2022 Sep 8;13(1):23. doi: 10.1186/s13326-022-00277-1.","Grimes J","J Biomed Semantics","2022","2022/09/08","PMC9455941","","10.1186/s13326-022-00277-1"
"37203627","Mapping the SPHN Dataset to FHIR","Klopfenstein SAI, Thun S, Crameri K, Stellmach C.","Stud Health Technol Inform. 2023 May 18;302:133-134. doi: 10.3233/SHTI230082.","Klopfenstein SAI","Stud Health Technol Inform","2023","2023/05/19","","","10.3233/SHTI230082"
"38508581","Pediatric Consent on FHIR","Voronov A, Jafari M, Zhao L, Soliz M, Hong Q, Pope J, Chern D, Lipman M, Grando A.","Appl Clin Inform. 2024 Mar;15(2):342-356. doi: 10.1055/a-2291-1482. Epub 2024 Mar 20.","Voronov A","Appl Clin Inform","2024","2024/03/20","PMC11078568","","10.1055/a-2291-1482"
"38045364","MENDS-on-FHIR: Leveraging the OMOP common data model and FHIR standards for national chronic disease surveillance","Essaid S, Andre J, Brooks IM, Hohman KH, Hull M, Jackson SL, Kahn MG, Kraus EM, Mandadi N, Martinez AK, Mui JY, Zambarano B, Soares A.","medRxiv [Preprint]. 2023 Nov 22:2023.08.09.23293900. doi: 10.1101/2023.08.09.23293900.","Essaid S","medRxiv","2023","2023/12/04","PMC10690355","","10.1101/2023.08.09.23293900"
"37350889","Supporting Clinical Care: SOFA on FHIR","Gatrio M, Sasso AM, Sass J, Böttinger PE, Edelman JA, Landgraf DP.","AMIA Jt Summits Transl Sci Proc. 2023 Jun 16;2023:234-243. eCollection 2023.","Gatrio M","AMIA Jt Summits Transl Sci Proc","2023","2023/06/23","PMC10283110","",""
"29725963","Patient-Centered Radiology with FHIR: an Introduction to the Use of FHIR to Offer Radiology a Clinically Integrated Platform","Kamel PI, Nagy PG.","J Digit Imaging. 2018 Jun;31(3):327-333. doi: 10.1007/s10278-018-0087-6.","Kamel PI","J Digit Imaging","2018","2018/05/05","PMC5959836","","10.1007/s10278-018-0087-6"
"37918622","Shape Expressions (ShEx) schemas for the FHIR R5 specification","Sharma DK, Prud'hommeaux E, Booth D, Nanjo C, Jiang G.","J Biomed Inform. 2023 Dec;148:104534. doi: 10.1016/j.jbi.2023.104534. Epub 2023 Nov 2.","Sharma DK","J Biomed Inform","2023","2023/11/02","PMC10841909","NIHMS1946959","10.1016/j.jbi.2023.104534"
"29993991","Intelligent Mortality Reporting With FHIR","Hoffman RA, Wu H, Venugopalan J, Braun P, Wang MD.","IEEE J Biomed Health Inform. 2018 Sep;22(5):1583-1588. doi: 10.1109/JBHI.2017.2780891. Epub 2018 Apr 6.","Hoffman RA","IEEE J Biomed Health Inform","2018","2018/07/12","","","10.1109/JBHI.2017.2780891"
"28213144","Modeling and validating HL7 FHIR profiles using semantic web Shape Expressions (ShEx)","Solbrig HR, Prud'hommeaux E, Grieve G, McKenzie L, Mandel JC, Sharma DK, Jiang G.","J Biomed Inform. 2017 Mar;67:90-100. doi: 10.1016/j.jbi.2017.02.009. Epub 2017 Feb 16.","Solbrig HR","J Biomed Inform","2017","2017/02/19","PMC5502481","NIHMS855093","10.1016/j.jbi.2017.02.009"
"37603388","Designing Interoperable Health Care Services Based on Fast Healthcare Interoperability Resources: Literature Review","Nan J, Xu LQ.","JMIR Med Inform. 2023 Aug 21;11:e44842. doi: 10.2196/44842.","Nan J","JMIR Med Inform","2023","2023/08/21","PMC10477925","","10.2196/44842"
"36688534","MIMIC-IV on FHIR: converting a decade of in-patient data into an exchangeable, interoperable format","Bennett AM, Ulrich H, van Damme P, Wiedekopf J, Johnson AEW.","J Am Med Inform Assoc. 2023 Mar 16;30(4):718-725. doi: 10.1093/jamia/ocad002.","Bennett AM","J Am Med Inform Assoc","2023","2023/01/23","PMC10018258","","10.1093/jamia/ocad002"
"38222416","The SMART Text2FHIR Pipeline","Miller TA, McMurry AJ, Jones J, Gottlieb D, Mandl KD.","AMIA Annu Symp Proc. 2024 Jan 11;2023:514-520. eCollection 2023.","Miller TA","AMIA Annu Symp Proc","2024","2024/01/15","PMC10785871","",""
"38269712","A FHIR Native Radiology Informatics Platform","Raniga P, Min H, Leroux H.","Stud Health Technol Inform. 2024 Jan 25;310:1492-1494. doi: 10.3233/SHTI231260.","Raniga P","Stud Health Technol Inform","2024","2024/01/25","","","10.3233/SHTI231260"
"39176753","MeDaX: A Knowledge Graph on FHIR","Mazein I, Gebhardt T, Zinkewitz F, Michaelis L, Braun S, Waltemath D, Henkel R, Wodke JAH.","Stud Health Technol Inform. 2024 Aug 22;316:367-371. doi: 10.3233/SHTI240423.","Mazein I","Stud Health Technol Inform","2024","2024/08/23","","","10.3233/SHTI240423"
"34100949","Contemporary clinical decision support standards using Health Level Seven International Fast Healthcare Interoperability Resources","Strasberg HR, Rhodes B, Del Fiol G, Jenders RA, Haug PJ, Kawamoto K.","J Am Med Inform Assoc. 2021 Jul 30;28(8):1796-1806. doi: 10.1093/jamia/ocab070.","Strasberg HR","J Am Med Inform Assoc","2021","2021/06/08","PMC8324242","","10.1093/jamia/ocab070"
"34384198","Strategy to Adopt and Deploy HL7 FHIR Standard for Healthcare Interoperability in Korea","Bae S, Kim IK, Yi BK.","Healthc Inform Res. 2021 Jul;27(3):173-174. doi: 10.4258/hir.2021.27.3.173. Epub 2021 Jul 31.","Bae S","Healthc Inform Res","2021","2021/08/13","PMC8369052","","10.4258/hir.2021.27.3.173"
"28804791","Intelligent Mortality Reporting with FHIR","Hoffman RA, Wu H, Venugopalan J, Braun P, Wang MD.","IEEE EMBS Int Conf Biomed Health Inform. 2017 Feb;2017:181-184. doi: 10.1109/BHI.2017.7897235. Epub 2017 Mar 13.","Hoffman RA","IEEE EMBS Int Conf Biomed Health Inform","2017","2017/08/15","PMC5548492","NIHMS887421","10.1109/BHI.2017.7897235"
"29866978","FHIR Healthcare Directories: Adopting Shared Interfaces to Achieve Interoperable Medical Device Data Integration","Tyndall T, Tyndall A.","Stud Health Technol Inform. 2018;249:181-184.","Tyndall T","Stud Health Technol Inform","2018","2018/06/06","","",""
"29725959","Learning HL7 FHIR Using the HAPI FHIR Server and Its Use in Medical Imaging with the SIIM Dataset","Hussain MA, Langer SG, Kohli M.","J Digit Imaging. 2018 Jun;31(3):334-340. doi: 10.1007/s10278-018-0090-y.","Hussain MA","J Digit Imaging","2018","2018/05/05","PMC5959839","","10.1007/s10278-018-0090-y"
"36779019","BLOCKCHAIN IN HEALTHCARE TODAY: 2022 PREDICTIONS","Conway D, Venkataraman M, Laverick D, Pelin G, Hasselgren A.","Blockchain Healthc Today. 2022 Jan 31;5. doi: 10.30953/bhty.v5.194. eCollection 2022.","Conway D","Blockchain Healthc Today","2022","2023/02/13","PMC9907416","","10.30953/bhty.v5.194"
"34042700","Can FHIR Support Standardization in Post-Market Safety Surveillance?","Wang X, Lehmann H, Botsis T.","Stud Health Technol Inform. 2021 May 27;281:33-37. doi: 10.3233/SHTI210115.","Wang X","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210115"
"37619807","Real-time algorithmic exchange and processing of pharmaceutical quality data and information","Anderson C, Algorri M, Abernathy MJ.","Int J Pharm. 2023 Oct 15;645:123342. doi: 10.1016/j.ijpharm.2023.123342. Epub 2023 Aug 22.","Anderson C","Int J Pharm","2023","2023/08/24","","","10.1016/j.ijpharm.2023.123342"
"37386970","FHIR DataProvider for ReactAdmin: Leveraging User Interface Creation for Medical Web Applications","Scheible R, Alkier D, Wendroth J, Mayer J, Boeker M.","Stud Health Technol Inform. 2023 Jun 29;305:110-114. doi: 10.3233/SHTI230436.","Scheible R","Stud Health Technol Inform","2023","2023/06/30","","","10.3233/SHTI230436"
"31598581","An Interactive Visualization Tool for HL7 FHIR Specification Browsing and Profiling","Hong N, Wang K, Wu S, Shen F, Yao L, Jiang G.","J Healthc Inform Res. 2019 Sep;3(3):329-344. doi: 10.1007/s41666-018-0043-8. Epub 2019 Jan 10.","Hong N","J Healthc Inform Res","2019","2019/10/11","PMC6784845","NIHMS1518418","10.1007/s41666-018-0043-8"
"37869818","Unified Identification Protocol for Cross-Border Healthcare","Latorre F, Hawks CE, Colmenares B, Verma D, Gil M, Sala N.","Stud Health Technol Inform. 2023 Oct 20;309:111-115. doi: 10.3233/SHTI230752.","Latorre F","Stud Health Technol Inform","2023","2023/10/23","","","10.3233/SHTI230752"
"31437890","Clinical Text Mining on FHIR","Daumke P, Heitmann KU, Heckmann S, Martínez-Costa C, Schulz S.","Stud Health Technol Inform. 2019 Aug 21;264:83-87. doi: 10.3233/SHTI190188.","Daumke P","Stud Health Technol Inform","2019","2019/08/24","","","10.3233/SHTI190188"
"36089199","FHIR-Ontop-OMOP: Building clinical knowledge graphs in FHIR RDF with the OMOP Common data Model","Xiao G, Pfaff E, Prud'hommeaux E, Booth D, Sharma DK, Huo N, Yu Y, Zong N, Ruddy KJ, Chute CG, Jiang G.","J Biomed Inform. 2022 Oct;134:104201. doi: 10.1016/j.jbi.2022.104201. Epub 2022 Sep 9.","Xiao G","J Biomed Inform","2022","2022/09/11","PMC9561043","NIHMS1839711","10.1016/j.jbi.2022.104201"
"36762126","Interoperability with multiple Fast Healthcare Interoperability Resources (FHIR(®)) profiles and versions","Kramer MA, Moesel C.","JAMIA Open. 2023 Feb 7;6(1):ooad001. doi: 10.1093/jamiaopen/ooad001. eCollection 2023 Apr.","Kramer MA","JAMIA Open","2023","2023/02/10","PMC9904180","","10.1093/jamiaopen/ooad001"
"37646309","Machine Learning-Enabled Clinical Information Systems Using Fast Healthcare Interoperability Resources Data Standards: Scoping Review","Balch JA, Ruppert MM, Loftus TJ, Guan Z, Ren Y, Upchurch GR, Ozrazgat-Baslanti T, Rashidi P, Bihorac A.","JMIR Med Inform. 2023 Aug 24;11:e48297. doi: 10.2196/48297.","Balch JA","JMIR Med Inform","2023","2023/08/30","PMC10468818","","10.2196/48297"
"33930535","Genomic considerations for FHIR®; eMERGE implementation lessons","Murugan M, Babb LJ, Overby Taylor C, Rasmussen LV, Freimuth RR, Venner E, Yan F, Yi V, Granite SJ, Zouk H, Aronson SJ, Power K, Fedotov A, Crosslin DR, Fasel D, Jarvik GP, Hakonarson H, Bangash H, Kullo IJ, Connolly JJ, Nestor JG, Caraballo PJ, Wei W, Wiley K, Rehm HL, Gibbs RA.","J Biomed Inform. 2021 Jun;118:103795. doi: 10.1016/j.jbi.2021.103795. Epub 2021 Apr 28.","Murugan M","J Biomed Inform","2021","2021/04/30","PMC8583906","NIHMS1748497","10.1016/j.jbi.2021.103795"
"26198304","SMART on FHIR Genomics: facilitating standardized clinico-genomic apps","Alterovitz G, Warner J, Zhang P, Chen Y, Ullman-Cullere M, Kreda D, Kohane IS.","J Am Med Inform Assoc. 2015 Nov;22(6):1173-8. doi: 10.1093/jamia/ocv045. Epub 2015 Jul 21.","Alterovitz G","J Am Med Inform Assoc","2015","2015/07/23","PMC11737838","","10.1093/jamia/ocv045"
"31483260","HL7 Version 2.x Goes FHIR","Oemig F.","Stud Health Technol Inform. 2019 Sep 3;267:93-98. doi: 10.3233/SHTI190811.","Oemig F","Stud Health Technol Inform","2019","2019/09/05","","","10.3233/SHTI190811"
"33936490","Exploring JSON-LD as an Executable Definition of FHIR RDF to Enable","Solbrig HR, Solbrig HR, Prud'hommeaux E, Booth D, Endle CM, Stone DJ, Jiang G.","AMIA Annu Symp Proc. 2021 Jan 25;2020:1140-1149. eCollection 2020.","Solbrig HR","AMIA Annu Symp Proc","2021","2021/05/03","PMC8075421","",""
"38870885","HL7 Fast Healthcare Interoperability Resources (HL7 FHIR) in digital healthcare ecosystems for chronic disease management: Scoping review","Gazzarata R, Almeida J, Lindsköld L, Cangioli G, Gaeta E, Fico G, Chronaki CE.","Int J Med Inform. 2024 Sep;189:105507. doi: 10.1016/j.ijmedinf.2024.105507. Epub 2024 Jun 4.","Gazzarata R","Int J Med Inform","2024","2024/06/13","","","10.1016/j.ijmedinf.2024.105507"
"38025292","Electronic health record interoperability using FHIR and blockchain: A bibliometric analysis and future perspective","Anand G, Sadhna D.","Perspect Clin Res. 2023 Oct-Dec;14(4):161-166. doi: 10.4103/picr.picr_272_22. Epub 2023 Jun 26.","Anand G","Perspect Clin Res","2023","2023/11/29","PMC10679575","","10.4103/picr.picr_272_22"
"36738871","Representation of evidence-based clinical practice guideline recommendations on FHIR","Lichtner G, Alper BS, Jurth C, Spies C, Boeker M, Meerpohl JJ, von Dincklage F.","J Biomed Inform. 2023 Mar;139:104305. doi: 10.1016/j.jbi.2023.104305. Epub 2023 Feb 3.","Lichtner G","J Biomed Inform","2023","2023/02/04","","","10.1016/j.jbi.2023.104305"
"34798950","Using the Electronic Health Record to Enhance Care in Pediatric Rheumatology","Taxter AJ, Natter MD.","Rheum Dis Clin North Am. 2022 Feb;48(1):245-258. doi: 10.1016/j.rdc.2021.08.004.","Taxter AJ","Rheum Dis Clin North Am","2022","2021/11/20","","","10.1016/j.rdc.2021.08.004"
"38818114","MENDS-on-FHIR: leveraging the OMOP common data model and FHIR standards for national chronic disease surveillance","Essaid S, Andre J, Brooks IM, Hohman KH, Hull M, Jackson SL, Kahn MG, Kraus EM, Mandadi N, Martinez AK, Mui JY, Zambarano B, Soares A.","JAMIA Open. 2024 May 29;7(2):ooae045. doi: 10.1093/jamiaopen/ooae045. eCollection 2024 Jul.","Essaid S","JAMIA Open","2024","2024/05/31","PMC11137321","","10.1093/jamiaopen/ooae045"
"39970944","FHIR Granular Sensitive Data Segmentation","Lee P, Mendoza D, Kaiser M, Lott E, Singh G, Grando A.","Appl Clin Inform. 2025 Jan;16(1):156-166. doi: 10.1055/a-2466-4371. Epub 2025 Feb 19.","Lee P","Appl Clin Inform","2025","2025/02/19","PMC11839247","","10.1055/a-2466-4371"
"37203540","Model-Driven Dementia Prevention and Intervention Platform","Schinle M, Dietrich M, Stock S, Gerdes M, Stork W.","Stud Health Technol Inform. 2023 May 18;302:937-941. doi: 10.3233/SHTI230313.","Schinle M","Stud Health Technol Inform","2023","2023/05/19","","","10.3233/SHTI230313"
"31135347","Health Care in the Age of Interoperability Part 5: The Personal Health Record","Braunstein ML.","IEEE Pulse. 2019 May-Jun;10(3):19-23. doi: 10.1109/MPULS.2019.2911804.","Braunstein ML","IEEE Pulse","2019","2019/05/29","","","10.1109/MPULS.2019.2911804"
"37723918","A systematic review of data elements of computerized physician order entry (CPOE): mapping the data to FHIR","Montazeri M, Khajouei R, Afraz A, Ahmadian L.","Inform Health Soc Care. 2023 Oct 2;48(4):402-419. doi: 10.1080/17538157.2023.2255285. Epub 2023 Dec 6.","Montazeri M","Inform Health Soc Care","2023","2023/09/19","","","10.1080/17538157.2023.2255285"
"37386982","Health Digital Twins with Clinical Decision Support","Grob M, Seisl P, Rappelsberger A, Adlassnig KP.","Stud Health Technol Inform. 2023 Jun 29;305:151-152. doi: 10.3233/SHTI230448.","Grob M","Stud Health Technol Inform","2023","2023/06/30","","","10.3233/SHTI230448"
"35062202","Application Using Standard Communication Between Medical Facilities","Crisan-Vida M, Golea I, Bogdan R, Stoicu-Tivadar L.","Stud Health Technol Inform. 2022 Jan 14;289:498-499. doi: 10.3233/SHTI210969.","Crisan-Vida M","Stud Health Technol Inform","2022","2022/01/22","","","10.3233/SHTI210969"
"37387025","MYeHealthAppCY: A Healthcare Mobile Application in Cyprus","Agroti L, Canciu IC, Christodoulou M, Papaioannou M, Neocleous A, Savva P, Yiasemi C, Solomou T, Panayides A, Antoniou Z, Neofytou M, Constantinou I, Pattichis CS.","Stud Health Technol Inform. 2023 Jun 29;305:311-314. doi: 10.3233/SHTI230491.","Agroti L","Stud Health Technol Inform","2023","2023/06/30","","","10.3233/SHTI230491"
"38289660","Electronic Health Record and Semantic Issues Using Fast Healthcare Interoperability Resources: Systematic Mapping Review","Amar F, April A, Abran A.","J Med Internet Res. 2024 Jan 30;26:e45209. doi: 10.2196/45209.","Amar F","J Med Internet Res","2024","2024/01/30","PMC10865191","","10.2196/45209"
"27576909","Technical Challenges of Enterprise Imaging: HIMSS-SIIM Collaborative White Paper","Clunie DA, Dennison DK, Cram D, Persons KR, Bronkalla MD, Primo HR.","J Digit Imaging. 2016 Oct;29(5):583-614. doi: 10.1007/s10278-016-9899-4.","Clunie DA","J Digit Imaging","2016","2016/09/01","PMC5023533","","10.1007/s10278-016-9899-4"
"35672963","FAIRness for FHIR: Towards Making Health Datasets FAIR Using HL7 FHIR","Martínez-García A, Cangioli G, Chronaki C, Löbe M, Beyan O, Juehne A, Parra-Calderón CL.","Stud Health Technol Inform. 2022 Jun 6;290:22-26. doi: 10.3233/SHTI220024.","Martínez-García A","Stud Health Technol Inform","2022","2022/06/08","","","10.3233/SHTI220024"
"39176696","OMOP-on-FHIR: A FHIR Server Development to Facilitate Data Interaction with the OMOP-CDM and FHIR for PGHD","Jathissa P, Rohatsch L, Sauermann S, Hussein R.","Stud Health Technol Inform. 2024 Aug 22;316:157-158. doi: 10.3233/SHTI240367.","Jathissa P","Stud Health Technol Inform","2024","2024/08/23","","","10.3233/SHTI240367"
"37415138","FHIR-PYrate: a data science friendly Python package to query FHIR servers","Hosch R, Baldini G, Parmar V, Borys K, Koitka S, Engelke M, Arzideh K, Ulrich M, Nensa F.","BMC Health Serv Res. 2023 Jul 6;23(1):734. doi: 10.1186/s12913-023-09498-1.","Hosch R","BMC Health Serv Res","2023","2023/07/06","PMC10326955","","10.1186/s12913-023-09498-1"
"32308861","FHIR OWL: Transforming OWL ontologies into FHIR terminology resources","Metke-Jimenez A, Lawley M, Hansen D.","AMIA Annu Symp Proc. 2020 Mar 4;2019:664-672. eCollection 2019.","Metke-Jimenez A","AMIA Annu Symp Proc","2020","2020/04/21","PMC7153051","",""
"39413224","Standards Adoption Among Health Information Exchange Organizations","Chang W, Larson J, Strawley C.","2024 Oct. In: ASTP Health IT Data Brief [Internet]. Washington (DC): Office of the Assistant Secretary for Technology Policy; 2012. 75.","Chang W","ASTP Health IT Data Brief","2012","2024/10/01","","",""
"28423833","HL7 FHIR: Ontological Reinterpretation of Medication Resources","Martinez-Costa C, Schulz S.","Stud Health Technol Inform. 2017;235:451-455.","Martinez-Costa C","Stud Health Technol Inform","2017","2017/04/21","","",""
"35592952","Generation of FHIR-Based International Patient Summaries from ELGA Data","Dimitrov A, Duftschmid G.","Stud Health Technol Inform. 2022 May 16;293:1-8. doi: 10.3233/SHTI220339.","Dimitrov A","Stud Health Technol Inform","2022","2022/05/20","","","10.3233/SHTI220339"
"38682504","Dual Implementation Guides in FHIR and CDA","Tanjga N, Krauss O.","Stud Health Technol Inform. 2024 Apr 26;313:49-54. doi: 10.3233/SHTI240011.","Tanjga N","Stud Health Technol Inform","2024","2024/04/29","","","10.3233/SHTI240011"
"39642924","FHIR - Overdue Standard for Radiology Data Warehouses","Arnold P, Pinto Dos Santos D, Bamberg F, Kotter E.","Rofo. 2024 Dec 6. doi: 10.1055/a-2462-2351. Online ahead of print.","Arnold P","Rofo","2024","2024/12/06","","","10.1055/a-2462-2351"
"37386997","Patient-Centric Interoperability and Cybersecurity for Cross-Border Healthcare","Latorre F, Hawks CE, Colmenares B, Verma D, Gil M, Sala N.","Stud Health Technol Inform. 2023 Jun 29;305:204-207. doi: 10.3233/SHTI230463.","Latorre F","Stud Health Technol Inform","2023","2023/06/30","","","10.3233/SHTI230463"
"29888033","Improving Interoperability between Registries and EHRs","Blumenthal S.","AMIA Jt Summits Transl Sci Proc. 2018 May 18;2017:20-25. eCollection 2018.","Blumenthal S","AMIA Jt Summits Transl Sci Proc","2018","2018/06/12","PMC5961768","",""
"34298155","REDCap on FHIR: Clinical Data Interoperability Services","Cheng AC, Duda SN, Taylor R, Delacqua F, Lewis AA, Bosler T, Johnson KB, Harris PA.","J Biomed Inform. 2021 Sep;121:103871. doi: 10.1016/j.jbi.2021.103871. Epub 2021 Jul 21.","Cheng AC","J Biomed Inform","2021","2021/07/23","PMC9217161","NIHMS1817108","10.1016/j.jbi.2021.103871"
"32570686","Translating openEHR Models to FHIR","Fette G, Ertl M, Störk S.","Stud Health Technol Inform. 2020 Jun 16;270:1415-1416. doi: 10.3233/SHTI200469.","Fette G","Stud Health Technol Inform","2020","2020/06/24","","","10.3233/SHTI200469"
"35062196","openEHR-to-FHIR: Converting openEHR Compositions to Fast Healthcare Interoperability Resources (FHIR) for the German Corona Consensus Dataset (GECCO)","Ladas N, Franz S, Haarbrandt B, Sommer KK, Kohler S, Ballout S, Fiebeck J, Marschollek M, Gietzelt M.","Stud Health Technol Inform. 2022 Jan 14;289:485-486. doi: 10.3233/SHTI210963.","Ladas N","Stud Health Technol Inform","2022","2022/01/22","","","10.3233/SHTI210963"
"39316433","State-of-the-Art Fast Healthcare Interoperability Resources (FHIR)-Based Data Model and Structure Implementations: Systematic Scoping Review","Tabari P, Costagliola G, De Rosa M, Boeker M.","JMIR Med Inform. 2024 Sep 24;12:e58445. doi: 10.2196/58445.","Tabari P","JMIR Med Inform","2024","2024/09/24","PMC11472501","","10.2196/58445"
"37040583","Precision Oncology Core Data Model to Support Clinical Genomics Decision Making","Botsis T, Murray JC, Ghanem P, Balan A, Kernagis A, Hardart K, He T, Spiker J, Kreimeyer K, Tao J, Baras AS, Yegnasubramanian S, Canzoniero J, Anagnostou V; Johns Hopkins Molecular Tumor Board Investigators.","JCO Clin Cancer Inform. 2023 Apr;7:e2200108. doi: 10.1200/CCI.22.00108.","Botsis T","JCO Clin Cancer Inform","2023","2023/04/11","PMC10281442","","10.1200/CCI.22.00108"
"39176637","Data Standardization in the Medical Field Through FHIR and FAIR Implementation: A Systematic Review","Niţulescu A, Stoicu-Tivadar L.","Stud Health Technol Inform. 2024 Aug 22;316:1378-1382. doi: 10.3233/SHTI240668.","Niţulescu A","Stud Health Technol Inform","2024","2024/08/23","","","10.3233/SHTI240668"
"32540775","Decentralised provenance for healthcare data","Margheri A, Masi M, Miladi A, Sassone V, Rosenzweig J.","Int J Med Inform. 2020 Sep;141:104197. doi: 10.1016/j.ijmedinf.2020.104197. Epub 2020 Jun 8.","Margheri A","Int J Med Inform","2020","2020/06/17","","","10.1016/j.ijmedinf.2020.104197"
"34042862","FhirExtinguisher: A FHIR Resource Flattening Tool Using FHIRPath","Oehm J, Storck M, Fechner M, Brix TJ, Yildirim K, Dugas M.","Stud Health Technol Inform. 2021 May 27;281:1112-1113. doi: 10.3233/SHTI210369.","Oehm J","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210369"
