Title,Authors,Publication Year,DOI
Genomic considerations for FHIR®; eMERGE implementation lessons,"Murugan M, Babb LJ, Overby Taylor C, Rasmussen LV, Freimuth RR, Venner E, Yan F, Yi V, Granite SJ, Zouk H, Aronson SJ, Power K, Fedotov A, Crosslin DR, Fasel D, Jarvik GP, Hakonarson H, Bangash H, Kullo IJ, Connolly JJ, Nestor JG, Caraballo PJ, Wei W, Wiley K, Rehm HL, Gibbs RA.",2021,10.1016/j.jbi.2021.103795
SMART on FHIR Genomics: facilitating standardized clinico-genomic apps,"Alterovitz G, Warner J, Zhang P, Chen Y, Ullman-Cullere M, Kreda D, Kohane IS.",2015,10.1093/jamia/ocv045
HL7 Version 2.x Goes FHIR,Oemig F.,2019,10.3233/SHTI190811
Exploring JSON-LD as an Executable Definition of FHIR RDF to Enable,"Solbrig HR, Solbrig HR, Prud'hommeaux E, Booth D, Endle CM, Stone DJ, Jiang G.",2021,
HL7 Fast Healthcare Interoperability Resources (HL7 FHIR) in digital healthcare ecosystems for chronic disease management: Scoping review,"Gazzarata R, Almeida J, Lindsköld L, Cangioli G, Gaeta E, Fico G, Chronaki CE.",2024,10.1016/j.ijmedinf.2024.105507
Electronic health record interoperability using FHIR and blockchain: A bibliometric analysis and future perspective,"Anand G, Sadhna D.",2023,10.4103/picr.picr_272_22
Representation of evidence-based clinical practice guideline recommendations on FHIR,"Lichtner G, Alper BS, Jurth C, Spies C, Boeker M, Meerpohl JJ, von Dincklage F.",2023,10.1016/j.jbi.2023.104305
Using the Electronic Health Record to Enhance Care in Pediatric Rheumatology,"Taxter AJ, Natter MD.",2022,10.1016/j.rdc.2021.08.004
MENDS-on-FHIR: leveraging the OMOP common data model and FHIR standards for national chronic disease surveillance,"Essaid S, Andre J, Brooks IM, Hohman KH, Hull M, Jackson SL, Kahn MG, Kraus EM, Mandadi N, Martinez AK, Mui JY, Zambarano B, Soares A.",2024,10.1093/jamiaopen/ooae045
FHIR Granular Sensitive Data Segmentation,"Lee P, Mendoza D, Kaiser M, Lott E, Singh G, Grando A.",2025,10.1055/a-2466-4371
Model-Driven Dementia Prevention and Intervention Platform,"Schinle M, Dietrich M, Stock S, Gerdes M, Stork W.",2023,10.3233/SHTI230313
Health Care in the Age of Interoperability Part 5: The Personal Health Record,Braunstein ML.,2019,10.1109/MPULS.2019.2911804
A systematic review of data elements of computerized physician order entry (CPOE): mapping the data to FHIR,"Montazeri M, Khajouei R, Afraz A, Ahmadian L.",2023,10.1080/17538157.2023.2255285
Health Digital Twins with Clinical Decision Support,"Grob M, Seisl P, Rappelsberger A, Adlassnig KP.",2023,10.3233/SHTI230448
Application Using Standard Communication Between Medical Facilities,"Crisan-Vida M, Golea I, Bogdan R, Stoicu-Tivadar L.",2022,10.3233/SHTI210969
MYeHealthAppCY: A Healthcare Mobile Application in Cyprus,"Agroti L, Canciu IC, Christodoulou M, Papaioannou M, Neocleous A, Savva P, Yiasemi C, Solomou T, Panayides A, Antoniou Z, Neofytou M, Constantinou I, Pattichis CS.",2023,10.3233/SHTI230491
Electronic Health Record and Semantic Issues Using Fast Healthcare Interoperability Resources: Systematic Mapping Review,"Amar F, April A, Abran A.",2024,10.2196/45209
Technical Challenges of Enterprise Imaging: HIMSS-SIIM Collaborative White Paper,"Clunie DA, Dennison DK, Cram D, Persons KR, Bronkalla MD, Primo HR.",2016,10.1007/s10278-016-9899-4
FAIRness for FHIR: Towards Making Health Datasets FAIR Using HL7 FHIR,"Martínez-García A, Cangioli G, Chronaki C, Löbe M, Beyan O, Juehne A, Parra-Calderón CL.",2022,10.3233/SHTI220024
OMOP-on-FHIR: A FHIR Server Development to Facilitate Data Interaction with the OMOP-CDM and FHIR for PGHD,"Jathissa P, Rohatsch L, Sauermann S, Hussein R.",2024,10.3233/SHTI240367
FHIR-PYrate: a data science friendly Python package to query FHIR servers,"Hosch R, Baldini G, Parmar V, Borys K, Koitka S, Engelke M, Arzideh K, Ulrich M, Nensa F.",2023,10.1186/s12913-023-09498-1
FHIR OWL: Transforming OWL ontologies into FHIR terminology resources,"Metke-Jimenez A, Lawley M, Hansen D.",2020,
Standards Adoption Among Health Information Exchange Organizations,"Chang W, Larson J, Strawley C.",2012,
HL7 FHIR: Ontological Reinterpretation of Medication Resources,"Martinez-Costa C, Schulz S.",2017,
Generation of FHIR-Based International Patient Summaries from ELGA Data,"Dimitrov A, Duftschmid G.",2022,10.3233/SHTI220339
Dual Implementation Guides in FHIR and CDA,"Tanjga N, Krauss O.",2024,10.3233/SHTI240011
FHIR - Overdue Standard for Radiology Data Warehouses,"Arnold P, Pinto Dos Santos D, Bamberg F, Kotter E.",2024,10.1055/a-2462-2351
Patient-Centric Interoperability and Cybersecurity for Cross-Border Healthcare,"Latorre F, Hawks CE, Colmenares B, Verma D, Gil M, Sala N.",2023,10.3233/SHTI230463
Improving Interoperability between Registries and EHRs,Blumenthal S.,2018,
REDCap on FHIR: Clinical Data Interoperability Services,"Cheng AC, Duda SN, Taylor R, Delacqua F, Lewis AA, Bosler T, Johnson KB, Harris PA.",2021,10.1016/j.jbi.2021.103871
Translating openEHR Models to FHIR,"Fette G, Ertl M, Störk S.",2020,10.3233/SHTI200469
openEHR-to-FHIR: Converting openEHR Compositions to Fast Healthcare Interoperability Resources (FHIR) for the German Corona Consensus Dataset (GECCO),"Ladas N, Franz S, Haarbrandt B, Sommer KK, Kohler S, Ballout S, Fiebeck J, Marschollek M, Gietzelt M.",2022,10.3233/SHTI210963
State-of-the-Art Fast Healthcare Interoperability Resources (FHIR)-Based Data Model and Structure Implementations: Systematic Scoping Review,"Tabari P, Costagliola G, De Rosa M, Boeker M.",2024,10.2196/58445
Precision Oncology Core Data Model to Support Clinical Genomics Decision Making,"Botsis T, Murray JC, Ghanem P, Balan A, Kernagis A, Hardart K, He T, Spiker J, Kreimeyer K, Tao J, Baras AS, Yegnasubramanian S, Canzoniero J, Anagnostou V; Johns Hopkins Molecular Tumor Board Investigators.",2023,10.1200/CCI.22.00108
Data Standardization in the Medical Field Through FHIR and FAIR Implementation: A Systematic Review,"Niţulescu A, Stoicu-Tivadar L.",2024,10.3233/SHTI240668
Decentralised provenance for healthcare data,"Margheri A, Masi M, Miladi A, Sassone V, Rosenzweig J.",2020,10.1016/j.ijmedinf.2020.104197
FhirExtinguisher: A FHIR Resource Flattening Tool Using FHIRPath,"Oehm J, Storck M, Fechner M, Brix TJ, Yildirim K, Dugas M.",2021,10.3233/SHTI210369
Smart Contract Authentication assisted GraphMap-Based HL7 FHIR architecture for interoperable e-healthcare system,"Sreejith R, Senthil S.",2023,10.1016/j.heliyon.2023.e15180
OpenMRS Analytics Engine: A FHIR Based Approach,"Kimaina A, Dick J, Sadjad B.",2022,10.3233/SHTI220086
Providing ART-DECOR ValueSets via FHIR Terminology Servers - A Technical Report,"Wiedekopf J, Drenkhahn C, Ulrich H, Kock-Schoppenhauer AK, Ingenerf J.",2021,10.3233/SHTI210550
An HL7-FHIR-based Object Model for a Home-Centered Data Warehouse for Ambient Assisted Living Environments,"Schwartze J, Jansen L, Schrom H, Wolf KH, Haux R, Marschollek M.",2015,
"Clinical, technical, and implementation characteristics of real-world health applications using FHIR","Griffin AC, He L, Sunjaya AP, King AJ, Khan Z, Nwadiugwu M, Douthit B, Subbian V, Nguyen V, Braunstein M, Jaffe C, Schleyer T.",2022,10.1093/jamiaopen/ooac077
Breaking Barriers for Interoperability: A Reference Implementation of CSV-FHIR Transformation Using Open-Source Tools,"Alkarkoukly S, Kamal MM, Beyan O.",2023,10.3233/SHTI230061
TerminoDiff - Detecting Semantic Differences in HL7 FHIR CodeSystems,"Wiedekopf J, Drenkhahn C, Rosenau L, Ulrich H, Kock-Schoppenhauer AK, Ingenerf J.",2022,10.3233/SHTI220475
Implementation of Interoperable Healthcare Standards for Community Healthcare,"Bae YS, Park Y, Lee SM, You H, Park Y, Lee H, Yoon HJ.",2023,10.3233/SHTI230146
Introducing HL7 FHIR Genomics Operations: a developer-friendly approach to genomics-EHR integration,"Dolin RH, Heale BSE, Alterovitz G, Gupta R, Aronson J, Boxwala A, Gothi SR, Haines D, Hermann A, Hongsermeier T, Husami A, Jones J, Naeymi-Rad F, Rapchak B, Ravishankar C, Shalaby J, Terry M, Xie N, Zhang P, Chamala S.",2023,10.1093/jamia/ocac246
Towards FAIR Data Standardization Using FHIR Genomics Resources Integration in Obstetrics-Gynecology Department Systems,"Niţulescu A, Crişan-Vida M, Stoicu-Tivadar L.",2023,10.3233/SHTI230460
FHIR-up! Advancing knowledge from clinical data through application of standardized nursing terminologies within HL7® FHIR®,"Monsen KA, Heermann L, Dunn-Lopez K.",2023,10.1093/jamia/ocad131
Enabling artificial intelligence in high acuity medical environments,"Kasparick M, Andersen B, Franke S, Rockstroh M, Golatowski F, Timmermann D, Ingenerf J, Neumuth T.",2019,10.1080/13645706.2019.1599957
Transforming Healthcare Analytics with FHIR: A Framework for Standardizing and Analyzing Clinical Data,"Ayaz M, Pasha MF, Alahmadi TJ, Abdullah NNB, Alkahtani HK.",2023,10.3390/healthcare11121729
Design and validation of a FHIR-based EHR-driven phenotyping toolbox,"Brandt PS, Pacheco JA, Adekkanattu P, Sholle ET, Abedian S, Stone DJ, Knaack DM, Xu J, Xu Z, Peng Y, Benda NC, Wang F, Luo Y, Jiang G, Pathak J, Rasmussen LV.",2022,10.1093/jamia/ocac063
A cloud-based pipeline for analysis of FHIR and long-read data,"Dunn T, Cosgun E.",2023,10.1093/bioadv/vbac095
FHIR-Based Arden Syntax Compiler for Clinical Decision Support,"Weich C, Grob M, Rappelsberger A, Adlassnig KP.",2024,10.3233/SHTI241081
Semi-Automated Approach to Populate any FHIR Server via POST Method,Rajput AM.,2021,10.3233/SHTI210370
Guideline-Based Context-Sensitive Decision Modeling for Melanoma Patients,"Beckmann CL, Lodde G, Livingstone E, Schadendorf D, Böckmann B.",2022,10.3233/SHTI220803
Health4Afrika - Implementing HL7 FHIR Based Interoperability,"Baskaya M, Yuksel M, Erturkmen GBL, Cunningham M, Cunningham P.",2019,10.3233/SHTI190175
Enabling Better Interoperability for HealthCare: Lessons in Developing a Standards Based Application Programing Interface for Electronic Medical Record Systems,"Kasthurirathne SN, Mamlin B, Kumara H, Grieve G, Biondich P.",2015,10.1007/s10916-015-0356-6
Applying FHIR Genomics for Research - From Sequencing to Database,"Hernandez S, Fairchild K, Pemberton M, Dahmer J, Zhang W, Palchuk MB, Topaloglu U.",2022,
Towards a FHIR-Based Data Model for Coronary Angiography Observations,"Holweg F, Achenbach S, Deppenwiese N, Gaede L, Prokosch HU.",2022,10.3233/SHTI220331
New Standards for Clinical Decision Support: A Survey of The State of Implementation,"Taber P, Radloff C, Del Fiol G, Staes C, Kawamoto K.",2021,10.1055/s-0041-1726502
A Fast Healthcare Interoperability Resources (FHIR) layer implemented over i2b2,"Boussadi A, Zapletal E.",2017,10.1186/s12911-017-0513-6
Accelerating Multi-site Health Informatics with Streamlined Data Infrastructure using OMOP-on-FHIR,"Marteau BL, Zhu Y, Giuste F, Shi W, Carpenter A, Hilton C, Wang MD.",2022,10.1109/EMBC48229.2022.9871865
Consent Management System on Patient-Generated Health Data,"Randine P, Salant E, Muzny M, Pape-Haugaard L.",2024,10.3233/SHTI230956
Using CDS Hooks to increase SMART on FHIR app utilization: a cluster-randomized trial,"Morgan KL, Kukhareva PV, Warner PB, Wilkof J, Snyder M, Horton D, Madsen T, Habboushe J, Kawamoto K.",2022,10.1093/jamia/ocac085
Pitfalls in Analyzing FHIR Data from Different University Hospitals,"Löbe M, Draeger C, Strübing A, Palm J, Meineke FA, Winter A.",2023,10.3233/SHTI230706
Striking a match between FHIR-based patient data and FHIR-based eligibility criteria,"Alper BS, Dehnbostel J, Shahin K, Ojha N, Khanna G, Tignanelli CJ.",2023,10.1002/lrh2.10368
Real world performance of the 21st Century Cures Act population-level application programming interface,"Jones JR, Gottlieb D, McMurry AJ, Atreja A, Desai PM, Dixon BE, Payne PRO, Saldanha AJ, Shankar P, Solad Y, Wilcox AB, Ali MS, Kang E, Martin AM, Sprouse E, Taylor DE, Terry M, Ignatov V, Mandl KD.",2024,10.1093/jamia/ocae040
Experience from the Development of HL7 FHIR IG for Gatekeeper Project,"Gazzarata R, Chronaki C, Gallego A, Gaeta E, Fico G, Zampognaro P, Mercalli F, Giuliani F, Allocca C, Cangioli G.",2023,10.3233/SHTI230435
Converting ODM Metadata to FHIR Questionnaire Resources,"Doods J, Neuhaus P, Dugas M.",2016,
Evaluation of the Availability of Nursing Quality Indicators in German FHIR Implementations,"Netzband S, Ott K, Auer F, Kramer F.",2023,10.3233/SHTI230488
"SMART on FHIR: a standards-based, interoperable apps platform for electronic health records","Mandel JC, Kreda DA, Mandl KD, Kohane IS, Ramoni RB.",2016,10.1093/jamia/ocv189
Letter to the Editor: FHIR RDF - Why the world needs structured electronic health records,"Turki H, Rasberry L, Hadj Taieb MA, Mietchen D, Ben Aouicha M, Pouris A, Bousrih Y.",2022,10.1016/j.jbi.2022.104253
A FHIR has been lit on gICS: facilitating the standardised exchange of informed consent in a large network of university medicine,"Bialke M, Geidel L, Hampf C, Blumentritt A, Penndorf P, Schuldt R, Moser FM, Lang S, Werner P, Stäubert S, Hund H, Albashiti F, Gührer J, Prokosch HU, Bahls T, Hoffmann W.",2022,10.1186/s12911-022-02081-4
Cloud architecture for electronic health record systems interoperability,"Gómez D, Romero J, López P, Vázquez J, Cappo C, Pinto D, Villalba C.",2022,10.3233/THC-212806
Automated approach for quality assessment of RDF resources,"Zhang S, Benis N, Cornet R.",2023,10.1186/s12911-023-02182-8
Radiation Oncology Needs to Adopt a Comprehensive Standard for Data Transfer: The Case for HL7 FHIR,"Phillips M, Halasz L.",2017,10.1016/j.ijrobp.2017.08.007
Achieving your FHIR share of interoperability,Hobson C.,2017,
"Building a Comprehensive Clinical Data Repository Using FHIR, LOINC and SNOMED","Michel-Backofen A, Pellizzari T, Zohner J, Blasini R, Marquardt K.",2022,10.3233/SHTI220524
Bringing Communities Together: Mapping the Investigation-Study-Assay-Model (ISA) to Fast Healthcare Interoperability Resources (FHIR),"Klopfenstein SAI, Sass J, Vorisek CN, Jorczik F, Schmidt CO, Löbe M, Golebiewski M, Abaza H, Thun S.",2024,10.3233/SHTI230919
Identifying Relevant FHIR Elements for Data Quality Assessment in the German Core Data Set,"Draeger C, Tute E, Schmidt CO, Waltemath D, Boeker M, Winter A, Löbe M.",2023,10.3233/SHTI230117
A Consensus-Based Approach for Harmonizing the OHDSI Common Data Model with HL7 FHIR,"Jiang G, Kiefer RC, Sharma DK, Prud'hommeaux E, Solbrig HR.",2017,
CBL on FHIR: A FHIR-Based Platform for Health Professional Education,"Braunstein M, Barry B, Steel J, Ukovich D, Grimes J, Conlan D, Jones S, Dobbins C, Hansen D.",2024,10.3233/SHTI231148
Using FHIR to Support COVID-19 Vaccine Safety Electronic Case Reports in America,"Rizzato Lede DA, Molina HF, Bertoglia MP, Otzoy D, Benavides LA, Donis JA, Osorio VB, Aguilar C, Bustos JL, Diaz M, Revirol K, Galindo C, Mansilla J, Campos F, Kaminker D, D'agostino M, Pastor D.",2022,10.3233/SHTI220558
Interdisciplinary Teams in Health Informatics: Using FHIR Standards to Share Computable Knowledge,"Andrikopoulou E, Schreiweis B, Anywar M.",2023,10.3233/SHTI230201
StayHome: A FHIR-Native Mobile COVID-19 Symptom Tracker and Public Health Reporting Tool,"Burkhardt HA, Brandt PS, Lee JR, Karras SW, Bugni PF, Cvitkovic I, Chen AY, Lober WB.",2021,10.5210/ojphi.v13i1.11462
Shared Interoperable Clinical Decision Support Service for Drug-Allergy Interaction Checks: Implementation Study,"Jung S, Bae S, Seong D, Oh OH, Kim Y, Yi BK.",2022,10.2196/40338
An HL7 FHIR and GraphQL approach for interoperability between heterogeneous Electronic Health Record systems,"Mukhiya SK, Lamo Y.",2021,10.1177/14604582211043920
Representing NIH Genetic Test Registry Data in the FHIR Genomic Study Resource,"Khalifa A, Freimuth RR.",2023,10.3233/SHTI230515
From OpenEHR to FHIR and OMOP Data Model for Microbiology Findings,"Rinaldi E, Thun S.",2021,10.3233/SHTI210189
Integrating FHIR and UMLS in an Intelligent Tutoring System,"Frey N, Haffer N, Vogelsang L, Sass J, Thun S, Balzer F, Landgraf P.",2024,10.3233/SHTI240708
Real World Performance of the 21st Century Cures Act Population Level Application Programming Interface,"Jones JR, Gottlieb D, McMurry AJ, Atreja A, Desai PM, Dixon BE, Payne PRO, Saldanha AJ, Shankar P, Solad Y, Wilcox AB, Ali MS, Kang E, Martin AM, Sprouse E, Taylor D, Terry M, Ignatov V; SMART Cumulus Network; Mandl KD.",2023,10.1101/2023.10.05.23296560
Healthcare in the Age of Interoperability: Part 3,Braunstein ML.,2019,10.1109/MPULS.2018.2885831
Identifying the data elements and functionalities of clinical decision support systems to administer medication for neonates and pediatrics: a systematic literature review,"Norouzi S, Galavi Z, Ahmadian L.",2023,10.1186/s12911-023-02355-5
Evaluating Interoperability in German Critical Incident Reporting Systems,"Tetzlaff L, Purohit AM, Spallek J, Holmberg C, Schrader T.",2023,10.3233/SHTI230722
The Role of HL7 FHIR in the European Project GATEKEEPER,"Gazzarata R, Chronaki C, Gallego A, Gaeta E, Fico G, Zampognaro P, Mercalli F, Giuliani F, Allocca C, Cangioli G.",2024,10.3233/SHTI231183
PainRE-Life: A FHIR Based Telemonitoring Ecosystem for the Management of Patients with Chronic Pain,"Marceglia S, Manzelli V, Caruso A, Prenassi M, Prandin R, Savino C, Tacconi D, Ferrucci R, Conti C, Candiani G, Toraldo C, Judica E, Corbo M, Masiero M, Pravettoni G.",2023,10.3233/SHTI230773
Web-based Prototype for Graphical Exploration of FHIR® Questionnaire Responses,"Frei J, Auer FJ, Netzband S, Ignatenko Y, Kramer F.",2024,
FHIR Genomics: enabling standardization for precision medicine use cases,"Alterovitz G, Heale B, Jones J, Kreda D, Lin F, Liu L, Liu X, Mandl KD, Poloway DW, Ramoni R, Wagner A, Warner JL.",2020,10.1038/s41525-020-0115-6
Design and Adoption of a FHIR IG to Support a Telemonitoring Environment in Gatekeeper Project,"Gazzarata R, Chronaki C, Ricciardi F, Giuliani F, Zampognaro P, Mercalli F, Allocca C, Gaeta E, Fico G, Cangioli G.",2023,10.3233/SHTI230751
"""fhircrackr"": An R Package Unlocking Fast Healthcare Interoperability Resources for Statistical Analysis","Palm J, Meineke FA, Przybilla J, Peschel T.",2023,10.1055/s-0042-1760436
Aligning Biobanks and Data Integration Centers Efficiently (ABIDE_MI),"Prokosch HU, Baber R, Bollmann P, Gebhardt M, Gruendner J, Hummel M.",2022,10.3233/SHTI220317
A Standardized Clinical Data Harmonization Pipeline for Scalable AI Application Deployment (FHIR-DHP): Validation and Usability Study,"Williams E, Kienast M, Medawar E, Reinelt J, Merola A, Klopfenstein SAI, Flint AR, Heeren P, Poncette AS, Balzer F, Beimes J, von Bünau P, Chromik J, Arnrich B, Scherf N, Niehaus S.",2023,10.2196/43847
Automated Population of an i2b2 Clinical Data Warehouse using FHIR,"Solbrig HR, Hong N, Murphy SN, Jiang G.",2018,
Mapping of OpenEHR Archetypes to FHIR Resources in Use Case Oncology,"Rajput AM, Brakollari I.",2021,10.3233/SHTI210616
Developing an FHIR-Based Computational Pipeline for Automatic Population of Case Report Forms for Colorectal Cancer Clinical Trials Using Electronic Health Records,"Zong N, Wen A, Stone DJ, Sharma DK, Wang C, Yu Y, Liu H, Shi Q, Jiang G.",2020,10.1200/CCI.19.00116
Comparison of the Performance of the Fast Healthcare Interoperability Resources (FHIR) Subscription Channels,Kirilov N.,2024,10.3233/SHTI240027
Oncology on FHIR: A Data Model for Distributed Cancer Research,"Lambarki M, Kern J, Croft D, Engels C, Deppenwiese N, Kerscher A, Kiel A, Palm S, Lablans M.",2021,10.3233/SHTI210070
Ontoserver: a syndicated terminology server,"Metke-Jimenez A, Steel J, Hansen D, Lawley M.",2018,10.1186/s13326-018-0191-z
TermX: A Game Changer in the Healthcare Interoperability,"Bossenko I, Piho G, Ross P.",2024,10.3233/SHTI240352
Creation and Curation of the Society of Imaging Informatics in Medicine Hackathon Dataset,"Kohli M, Morrison JJ, Wawira J, Morgan MB, Hostetter J, Genereaux B, Hussain M, Langer SG.",2018,10.1007/s10278-017-0003-5
Developing a scalable FHIR-based clinical data normalization pipeline for standardizing and integrating unstructured and structured electronic health record data,"Hong N, Wen A, Shen F, Sohn S, Wang C, Liu H, Jiang G.",2019,10.1093/jamiaopen/ooz056
