"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"OpenEHR-based pervasive health information system for primary care: First Brazilian experience for public care","G. M. Bacelar-Silva; H. César; P. Braga; R. Guimarães","Programa de Modelagem Computacional SENAI - Cimatec, Salvador, Bahia, Brazil; Programa de Modelagem Computacional SENAI - Cimatec, Salvador, Bahia, Brazil; Programa de Modelagem Computacional SENAI - Cimatec, Salvador, Bahia, Brazil; Programa de Modelagem Computacional SENAI - Cimatec, Salvador, Bahia, Brazil",Proceedings of the 26th IEEE International Symposium on Computer-Based Medical Systems,"10 Oct 2013","2013","","","572","873","Introduction: The Brazilian Ministry of Health declared openEHR as the reference model for the definition of electronic health records (EHR). Aims: To unveil the issues related to the development and implementation of an openEHR-based pervasive HIS in a Brazilian public health primary care unit. Methods and preliminary results: They are divided into five subsections (analysis of physical infrastructure and computational resources, Modelling the Problem, Software Design and Information Security). Expected Results: We expect to implement a HIS based on an open source architecture, validated and aligned with evolving clinical content, economically viable and scalable considering future plans of physical structure's expansion. Conclusions: This pionner project can be a reference to further implementations and scientic studies.","1063-7125","978-1-4799-1053-3","10.1109/CBMS.2013.6627881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6627881","Pervasive Computing;openEHR;Eletronic Health Record;Clinical Decision Support System;mobility","Computational modeling;Software design;Computer architecture;Electronic medical records;Decision support systems;Medical services","","10","","8","IEEE","10 Oct 2013","","","IEEE","IEEE Conferences"
"GIRLS, a Gateway for Interoperability of electronic health Record in Low-cost System : Interoperability beetween FHIR and OpenEHR Standards","F. Gomes; R. Freitas; M. Ribeiro; C. Moura; O. Andrade; M. Oliveira","dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati-CE, Brasil; dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati-CE, Brasil; dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati-CE, Brasil; dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati-CE, Brasil; Fio Cruz Brasil, Fortaleza-CE, Brasil; dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati-CE, Brasil","2019 IEEE International Conference on E-health Networking, Application & Services (HealthCom)","28 Feb 2020","2019","","","1","6","Clinical information about patients should be consistent, complete and available to health professionals, ensuring quality care. This information is recorded on paper or on electronically-stored in a digital format. A few years ago, both Brazilian government and private healthcare providers invested in Information and Communication Technology to replace paper medical record with Electronic Medical Record (EMR). Nowadays, EMRs are evolving into Electronic Health Record (EHR), which allows for interoperability between different systems. While brazilian public health system recommends the OpenEHR standard as an information model for EHR, private providers in Brazil have adopted the HL7 FHIR standard. This article proposes the GIRLS, a low-cost gateway for EHR interoperability that uses both standards. As proof of concept, a chikungunya OpenEHR archetype and an equivalent FHIR feature have been implemented. This archetype is available to the Clinical Knowledge Manager (CKM), the largest online repository of archetypes on the Web.","","978-1-7281-0402-7","10.1109/HealthCom46333.2019.9009602","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9009602","Archetypes;EHR;OpenRHR;HL7 FHIR","Standards;Medical services;Interoperability;Computer architecture;Electronic medical records;Computer science;Conferences","","6","","23","IEEE","28 Feb 2020","","","IEEE","IEEE Conferences"
"Healthcare standards based sensory data exchange for Home Healthcare Monitoring System","W. A. Khan; M. Hussain; M. Afzal; M. B. Amin; S. Lee","Department of Computer Engineering, Kyung Hee University, Yongin, Gyeonggi, South Korea; Department of Computer Engineering, Kyung Hee University, Yongin, Gyeonggi, South Korea; Department of Computer Engineering, Kyung Hee University, Yongin, Gyeonggi, South Korea; Department of Computer Engineering, Kyung Hee University, Yongin, Gyeonggi, South Korea; Department of Computer Engineering, Kyung Hee University, Yongin, Gyeonggi, South Korea",2012 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"10 Nov 2012","2012","","","1274","1277","Interoperability is the among the key functionalities of an intelligent systems. Home Healthcare Monitoring Systems (HHMS) investigates patients activities at home, but lacks critical information exchange with Health Management Information System (HMIS). This information is vital for physicians to take necessary steps for timely and effective healthcare provisioning for patients. Physicians can only monitor and prescribe patients in time, if the data is shared with their HMIS. HMIS can be compliant to different healthcare standards. Therefore, mediation system is required to enable interoperability between HHMS and HMIS such that physicians and patients information can easily be exchanged. We propose Interoperability Mediation System (IMS) that provides interoperability services for exchange of information among HHMS and HMIS. We consider that HMIS are compliant to two heterogeneous EHR standards (HL7 CDA and openEHR). Alzheimer's patient case study is described as a proof of concept. Sensory information gathered at HHMS, is communicated with HMIS compliant to EHR based healthcare standards. Sensors information in XML form is converted by interoperability service to HL7 CDA and openEHR instances and communicated to HMIS afterwards. This allows the physicians registered with HHMS to monitor the patient using their HMIS and provide timely healthcare information.","1558-4615","978-1-4577-1787-1","10.1109/EMBC.2012.6346170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6346170","","Sensors;Standards;Monitoring;XML;Alzheimer's disease","Activities of Daily Living;Alzheimer Disease;Computer Communication Networks;Health Level Seven;Home Care Services;Humans;Medical Informatics;Medical Informatics;Models, Theoretical;Monitoring, Ambulatory","6","","12","IEEE","10 Nov 2012","","","IEEE","IEEE Conferences"
"Designing guideline-based workflow-enabled electronic health records","S. A. Barretto; J. Warren; A. Goodchild","Advanced Computing Research Centre, University of South Australia, Australia; Advanced Computing Research Centre, University of South Australia, Australia; Distributed Systems Technology Centre, University of Queensland, Australia","37th Annual Hawaii International Conference on System Sciences, 2004. Proceedings of the","26 Feb 2004","2004","","","10 pp.","","With the rising prevalence of chronic illness, there is a growing pressure to develop systems that engender evidence-based care. The potential for workflow support to coordinate services and improve communication in the context of chronic disease management is intuitively appealing, but is still a challenging (and hence rarely seen) accomplishment in practice. We examine the problem of achieving a close relationship of electronic health record (EHR) content to other components of a clinical information system (guidelines, decision support and workflow), with particular emphasis on integrating the EHR with workflow. We use the openEHR architecture, which allows extension of a core reference model via archetypes, to refine the detailed information recording options for specific points in the workflow and to represent the chain of instructions that is the workflow itself. We illustrate the use of openEHR for tracking the relationship of a series of clinical services or events to a guideline-based workflow via a case study of an early supported discharge (ESD) program for post-stroke rehabilitation. This case study shows the contribution guideline content and its derived workflow can have on problem specific EHR structure and demonstrates the potential for a constructive interaction of workflow support and the EHR. We conclude with a discussion of the practical boundary of applicability of workflow approaches versus decision support system approaches in supporting guideline-based care.","","0-7695-2056-1","10.1109/HICSS.2004.1265353","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265353","","Guidelines;Diseases;Decision support systems;Medical services;Clinical diagnosis;Distributed computing;Context-aware services;Context;Electrostatic discharge;Aging","","5","","23","IEEE","26 Feb 2004","","","IEEE","IEEE Conferences"
"Web services of transformation data based on OpenEHR into Health Level Seven (HL7) standards","A. Muslim; S. Puspitodjati; A. Benny Mutiara; T. Oswari","Department of Information System, Gunadarma University, Jakarta, Indonesia; Department of Informatics Engineering, Gunadarma University, Jakarta, Indonesia; Faculty of Computer Scienc and Information Technology, Gunadarma University, Jakarta, Indonesia; Department of Management, Gunadarma University, Jakarta, Indonesia",2017 Second International Conference on Informatics and Computing (ICIC),"5 Feb 2018","2017","","","1","4","To minimize the differences between the data standards of Healthcare Information System (HIS) then it needs a system that is using a standardized international health among others OpenEHR health information standards from Europe and the HL7 health information standards comes from America. In OpenEHR, all of a patient's health data to be stored in the history of life, are independent vendors, and centered on one person. HL7 (Health Level Seven) is one of many ANSI standard which has been accredited by SDO (Standards Developing Organizations). HL7 does not develop healthcare or hospital software application, but it only develops the concepts, methodology, specification, and standard, so exchanging data among different application is possible to be done. Conceptually, this exchanging data method is known as Electronic Data Interchange (EDI). As an embodiment to provide standardization of HIS based on Health Level Seven, it is achieved by building a web service of HIS based on HL7. This web service will be expected to make a standardizing the health data based on HL7, so that the process of data exchange or health information becomes more structured.","","978-1-5386-2985-7","10.1109/IAC.2017.8280571","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8280571","web service;HL7;openEHR;electronic data interchange","Web services;Medical services;Standards organizations;Organizations;Information systems;XML","","4","","11","IEEE","5 Feb 2018","","","IEEE","IEEE Conferences"
"A timed model for healthcare workflows based on CSP","J. Faber","UNU-IIST, Macao, China",2012 4th International Workshop on Software Engineering in Health Care (SEHC),"28 Jun 2012","2012","","","1","7","In order to precisely analyze healthcare workflows, we examine how healthcare workflows can be modeled and verified with an elementary and concise timed CSP extension. To avoid considering healthcare workflows in isolation, we investigate the usage of our CSP dialect for formally modeling workflows alongside the instruction model of the openEHR specification set, which is a general, maintainable, and interoperable approach to electronic health records. Hence, we present a CSP model for openEHR instructions, which allows timed reasoning, and also integrates a basic notion of data and undefinedness. We show that this CSP dialect is suited to verify important properties of healthcare workflows, like workflow consistency, checking against timed specifications, and resource scheduling.","","978-1-4673-1843-3","10.1109/SEHC.2012.6227002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227002","Healthcare Workflows;Formal Methods;Verification;CSP;OpenEHR","Medical services;Synchronization;Standards;Semantics;Real time systems;Data models","","4","","21","IEEE","28 Jun 2012","","","IEEE","IEEE Conferences"
"The design of an EHR for clinical decision support","L. Xiao; G. Cousins; L. Hederman; T. Fahey; B. Dimitrov","Hubei University of Technology, China; Royal College of Surgeons, Ireland; Trinity College Dublin, Ireland; Royal College of Surgeons, Ireland; Royal College of Surgeons, Ireland",2010 3rd International Conference on Biomedical Engineering and Informatics,"18 Nov 2010","2010","6","","2525","2531","In this paper, we give an overview of methadone treatment in Ireland and outline the rationale for designing an electronic healthcare record (EHR) with extensibility, interoperability and decision support functionality. Incorporating the openEHR standard, we designed a set of archetypes in line with the current best practice and clinical guidelines. They guide the information gathering process. A web-based data entry system has been implemented, incorporating elements of the paper-based prescription form, while at the same time facilitating the decision support function. The data collected via this Irish system can be aggregated into a larger dataset, if necessary, for analysis and evidence gathering, since we adopted the openEHR standard. It will be later extended to include the functionalities of prescribing drugs other than methadone during our work at the HRB Centre for Primary Care Research.","1948-2922","978-1-4244-6498-2","10.1109/BMEI.2010.5639694","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5639694","Clinical decision support system (CDSS);Clinical guideline;Computer based prescribing;Electronic healthcare record (EHR);Methadone maintenance therapy (MMT)","Drugs;Guidelines;Medical diagnostic imaging;Book reviews;Simple object access protocol;Inhibitors;Terminology","","3","","18","IEEE","18 Nov 2010","","","IEEE","IEEE Conferences"
"MARCIA: Applied Clinical Record Management : Eletronic Health Record Applied with EHRServer","F. Gomes; J. Paiva; A. Bezerra; C. Moura; M. Oliveira; O. Andrade","dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati, Brasil; dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati, Brasil; dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati, Brasil; dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Fortaleza, CE, Brazil; dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati, Brasil; dept. computer science (LAR.), Federal Institute of Ceara (IFCE.), Aracati, Brasil","2018 IEEE 20th International Conference on e-Health Networking, Applications and Services (Healthcom)","11 Nov 2018","2018","","","1","6","The quality of services provided to patients in the health area is directly related to the quality of clinical information. In addition, this information must be consistent, secure and available to health professionals, even though health data is usually distributed across heterogeneous systems. The Electronic Patient Record (EPR) was proposed and applied to minimize integration problems through the construction of health information systems. This work proposes a methodology for the development of interoperable and flexible systems, using the EHRServer framework of the OpenEHR standard. As a case study, this methodology has been applied in Aracati/CE since March / 2017, in the context of the Chikungunya disease. The methodology is supported by a system that implements a set of OpenEHR archetypes representing the clinical treatment of Chikungunya. The system was tested in a Basic Health Unit. The archetypes and the MARCIA Templates were made available to the Clinical Knowledge Manager (CKM), the largest online repository of archetypes on the Web.","","978-1-5386-4294-8","10.1109/HealthCom.2018.8531096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8531096","Archetypes;HIS;Clinical Management;Basic Health Unit;Chikungunya","Standards;Servers;Software;Computer science;Clinical diagnosis;Diseases;Interoperability","","3","","16","IEEE","11 Nov 2018","","","IEEE","IEEE Conferences"
"The intersection of clinical decision support and electronic health record: A literature review","H. Kashfi","Department of Applied Information Technology, Chalmers, University of Technology, Gothenburg, Sweden",2011 Federated Conference on Computer Science and Information Systems (FedCSIS),"14 Nov 2011","2011","","","347","353","It is observed that clinical decision support (CDS) and electronic health records (EHR) should be integrated so that their contribution to improving the quality of health care is enhanced. In this paper, we present results from a review on the related literature. The aim of this review was to find out to what extent CDS developers have actually considered EHR integration in developing CDS. We have also investigated how various clinical standards are taken into account by CDS developers. We observed that there are few CDS development projects where EHR integration is taken into account. Also, the number of studies where various clinical standards are taken into consideration in developing CDS is surprisingly low especially for openEHR, the EHR standard we aimed for. The reasons for low adoption of openEHR are issues such as complex and huge specifications, shortcomings in educational aspects, low empirical focus and low support for developers. It is concluded that there is a need for further investigation to discover the reasons why the rate of integration of EHRs and CDS is not at an optimum level and mostly to discover why CDS developers are not keen to adopt clinical standards.","","978-83-60810-39-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6078191","","Standards;Guidelines;Terminology;Medical services;Communities;Educational institutions;Cognition","","2","","65","","14 Nov 2011","","","IEEE","IEEE Conferences"
"Towards a semantic interoperability environment","I. Macía","GE Global Research Rio de Janeiro, Brazil","2014 IEEE 16th International Conference on e-Health Networking, Applications and Services (Healthcom)","8 Jan 2015","2014","","","543","548","The variety of Electronic Health Records (EHRs) makes interoperability a global trend in healthcare, which is of a paramount interest to the Brazilian Ministry of Health. In particular, semantic interoperability receives a special attention since it ensures that different health information systems make the same interpretation of the exchanged information. Although several standards have been documented to support interoperability (e.g. HL7 and IHE), achieving the semantic one is still a challenge. In this context, this paper represents a step towards supporting seamless semantic interoperability by combining different health standards (OpenEHR, IHE and HL7). It describes a software architecture that illustrates the role of different health standards in a semantic interoperability environment. Moreover, it introduces a process aiming at supporting the sematic validation of clinical documents. Finally, it documents several findings, such as benefits of the combined use of OpenEHR and IHE profiles.","","978-1-4799-6644-8","10.1109/HealthCom.2014.7001900","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001900","Interoperability health informatics standards;OpenEHR;IHE;HL7;software architecture","Interoperability;Standards;Semantics;Information systems;Clinical diagnosis;Syntactics","","2","","17","IEEE","8 Jan 2015","","","IEEE","IEEE Conferences"
"OpenEHR aware multi agent system for inter-institutional health data integration","P. Vieira-Marques; J. Patriarca-Almeida; S. Frade; G. Bacelar-Silva; S. Robles; R. Cruz-Correia","CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal; CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal; CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal; Department of Information and Communication Engineering, Universitat Autonoma de Barcelona, Barcelona, Spain; CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal; CINTESIS - Center for research in health technologies and information systems, Faculdade de Medicina Universidade do Porto, Porto, Portugal",2014 9th Iberian Conference on Information Systems and Technologies (CISTI),"14 Aug 2014","2014","","","1","6","Most patients receive care from many health care providers, and consequently their health data is dispersed over many institutions' paper and EHR-based record systems. This reality leads to a fragmented system of storing and retrieving essential patient data that impedes optimal care leading to the coexistence of somewhat autistic systems. Providing means for scattered clinical information to be congregated where and when needed may have a strong impact on healthcare quality. Interoperability is a major requisite for effectively sharing information between systems. Standards like openEHR play an important role on achieving interoperability. Agents are software entities, which can embody different perspectives of the surrounding environment and act accordingly. They can perceive the dynamic character of the environment and update their knowledge, enabling pro-activeness regarding actions that are better suited according to a particular user and a given set of goals. In this work we extend our previous work of building a VEPR for inter-institutional data integration with the inclusion of openEHR usage for querying and storing data in order to pursuit the efforts towards Health Information Systems semantic interoperability.","2166-0727","978-9-8998-4343-1","10.1109/CISTI.2014.6876864","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876864","multi-agent system;openEHR;integration;interoperability;Health Patient Record","Interoperability;XML;Information systems;Semantics;Databases;Medical services;Data models","","2","","14","","14 Aug 2014","","","IEEE","IEEE Conferences"
"A novel architecture for message exchange in Pervasive Healthcare based on the use of Intelligent Agents","J. L. C. de Moraes; W. L. de Souza; L. F. Pires; L. T. Cavalini; A. Francisco do Prado","Computer Department, Federal University of São Carlos, Sao Carlos, Brazil; Computer Department, Federal University of São Carlos, Sao Carlos, Brazil; Software Engineering, University of Twente, Enschede, Netherlands; Department of Epidemiology, Fluminense Federal University, Niteroi, Brazil; Computer Department, Federal University of São Carlos, Sao Carlos, Brazil",2013 ACS International Conference on Computer Systems and Applications (AICCSA),"3 Oct 2013","2013","","","1","8","In Pervasive Healthcare, novel information and communication technologies are applied to support the provision of health services anywhere, at anytime, and to anyone. Ubiquitous Computing technologies allow efficient and safe information exchange amongst caregivers and their patients in communities, homes and hospitals. Since health systems may offer their health records in various electronic formats, the openEHR foundation has proposed a dual model to achieve semantic interoperability between such systems. Intelligent Agents is a technology that has been applied to simulate human skills in healthcare procedures. In this paper, we propose an architecture for the exchange of context-aware messages in Pervasive Healthcare environments. This architecture is based on technologies from Ubiquitous Computing and Intelligent Agents, and complies with the openEHR dual model.","2161-5330","978-1-4799-0792-2","10.1109/AICCSA.2013.6616507","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6616507","Pervasive Healthcare;Intelligent Agents;Ubiquitous Computing;openEHR;BDI architecture","Medical services;Intelligent agents;Computer architecture;Standards;Ontologies;Ubiquitous computing;Interoperability","","2","","18","IEEE","3 Oct 2013","","","IEEE","IEEE Conferences"
"Interoperability in Ambient Assisted Living using OpenEHR","E. Osório; L. Ferreira; R. Abreu; F. Sousa","Faculty of Engineering, University of Porto, Porto, Portugal; Fraunhofer Portugal AICOS, Porto, Portugal; Faculty of Engineering, University of Porto, Porto, Portugal; Fraunhofer Portugal AICOS, Porto, Portugal","2013 IEEE 15th International Conference on e-Health Networking, Applications and Services (Healthcom 2013)","27 Jan 2014","2013","","","394","398","The increasing number of elderly citizens in our society increases the strain on traditional healthcare systems' resources. Ambient Assisted Living solutions seek to reduce the impact of this trend as well as provide a way for the elderly to continue living in their home environment as long as possible with a good quality of life and independence. However, due to the diverse nature of existing products and services, ensuring interoperability between them is important to provide flexible and adequate solutions for an individual's particular needs. The goal of this work is to propose a solution for this problem using Electronic Health Records and health information standards. For this purpose, a repository was implemented to store records in Extensible Markup Language format following the openEHR standard, as well as an application to create, manage and query these records. An interface engine was used to provide message transformation capabilities between different standards and openEHR. The results gathered from an evaluation of this work show that such a system provides fast insertion of information and reasonable querying times for single records. Also, the message transformation capabilities developed in conjunction with the storage mechanism provide an important step towards solving the interoperability problem.","","978-1-4673-5801-9","10.1109/HealthCom.2013.6720707","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6720707","","Standards;Interoperability;Prototypes;Conferences;Senior citizens;Electronic medical records;Monitoring","","1","","33","IEEE","27 Jan 2014","","","IEEE","IEEE Conferences"
"The Use of OpenEHR Archetypes in Requirements Elicitation: Best Practices for Engaging Domain Experts in Healthcare Software Development","J. V. d. A. Silva; A. Araújo","Computing Institute, Federal University of Alagoas, Maceió, Brazil; Computing Institute, Federal University of Alagoas, Maceió, Brazil",IEEE Access,"14 Nov 2024","2024","12","","166615","166629","Effective requirements elicitation and validation are crucial for developing healthcare applications that genuinely meet the needs of end users. This study investigates the role of healthcare professionals in these processes and explores the application of openEHR archetypes to enhance stakeholder engagement. A comprehensive literature review identified significant gaps in the participation of domain experts throughout the software development lifecycle. A thematic analysis of survey responses from healthcare professionals revealed vital challenges they face with existing software applications. Statistical analyses confirmed the limited involvement of these professionals, while interviews with software engineers provided insights into the practical implications of integrating archetypes into development processes. Based on these findings, a set of good practices is proposed to facilitate effective requirements elicitation and validation through the active involvement of healthcare professionals. Utilizing openEHR archetypes, these practices aim to bridge the gap between technical specifications and clinical needs, ultimately leading to the development of more user-centered healthcare software solutions. This study highlights the importance of fostering collaboration between developers and domain experts to enhance the quality and usability of healthcare applications, paving the way for improved patient outcomes and operational efficiency.","2169-3536","","10.1109/ACCESS.2024.3496293","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10750174","Healthcare software development;requirements elicitation;openEHR archetypes;software engineering","Medical services;Software;Software development management;Usability;Terminology;Surveys;Standards;Interviews;Guidelines;Ethics;Software engineering","","","","38","CCBY","11 Nov 2024","","","IEEE","IEEE Journals"
"Generating Context-Awarness Interface for Medical Applications","F. Kallel; A. S. Ellouze; R. Bouaziz","MIRACL Laboratory, FSEGS-University of Sfax, Tunisia; MIRACL Laboratory, FSEGS-University of Sfax, Tunisia; MIRACL Laboratory, FSEGS-University of Sfax, Tunisia",2011 Developments in E-systems Engineering,"13 Feb 2012","2011","","","105","110","The openEHR norm is advising the quality of care delivered by a health information system (HIS). In fact, it offers an archetype-based approach allowing storing and communicating of patient information in a safe and reliable way. However, HIS has to face the problem of multiplication resource and diversity of use. Generating adaptive interface to user's context represents a solution to remediate these problems. In this paper, we show how we can design an HIS, according to the openEHR norm, which generates adaptive interface to the user's context.","","978-1-4577-2186-1","10.1109/DeSE.2011.58","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6149963","Medical interface adaptation;User's context;Health information system","","","","","12","IEEE","13 Feb 2012","","","IEEE","IEEE Conferences"
"Survey of openEHR storage implementations","S. Frade; S. M. Freire; E. Sundvall; J. H. Patriarca-Almeida; R. Cruz-Correia","Center for Research in Health Technologies and Information Systems-CINTESIS, Faculty of Medicine, University of Porto, Portugal; Universidade Federal do Rio de Janeiro, Rio de Janeiro, RJ, BR; Department of Biomedical Engineering, Linköping University, Sweden; Center for Research in Health Technologies and Information Systems-CINTESIS, Faculty of Medicine, University of Porto, Portugal; Center for Research in Health Technologies and Information Systems-CINTESIS, Faculty of Medicine, University of Porto, Portugal",Proceedings of the 26th IEEE International Symposium on Computer-Based Medical Systems,"10 Oct 2013","2013","","","303","307","Efficiently storing and retrieving archetype-based patient information can be a challenging task. This paper surveys current archetype-based system implementations in the world and in particular the different approaches that have been used to create 13606- or openEHR-based storage repositories. Data is reported from systems with a few records to millions of records, including both deployed systems in production and experimental systems. Worldwide 21 projects were found, 4 did not reply and 1 did not provide data. Many systems (n=11) base their storage on RDBMS, then often (n=6) with some XML data fields. Dedicated XML (n=3) and object-oriented (n=2) databases were other examples of storage used. Query formalisms used include SQL, AQL, XQuery and XPath. Service interfaces via SOAP (n=12) or REST (n=6) are common. Most systems support dynamic configuration using new/changed archetypes and templates dynamically without system restart. Some (n=7) systems use demographic archetypes. In addition to the built in DBMS indexing mechanisms, one project reports use of an additional inverted index to achieve improved performance.","1063-7125","978-1-4799-1053-3","10.1109/CBMS.2013.6627806","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6627806","","Databases;XML;Educational institutions;Data models;Information services;Electronic publishing;Internet","","22","","10","IEEE","10 Oct 2013","","","IEEE","IEEE Conferences"
"A semantic web-based system for managing clinical archetypes","J. T. Fernandez-Breis; M. Menarguez-Tortosa; C. Martinez-Costa; E. Fernandez-Breis; J. Herrero-Sempere; D. Moner; J. Sanchez; R. Valencia-Garcia; M. Robles","Universidad de Murcia, Spain; Universidad de Murcia, Spain; Universidad de Murcia, Spain; Universidad de Murcia, Spain; Universidad de Murcia, Spain; Technical University, Spain; Universidad de Murcia, Spain; Universidad de Murcia, Spain; Technical University, Spain",2008 30th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"14 Oct 2008","2008","","","1482","1485","Archetypes facilitate the sharing of clinical knowledge and therefore are a basic tool for achieving interoperability between healthcare information systems. In this paper, a Semantic Web System for Managing Archetypes is presented. This system allows for the semantic annotation of archetypes, as well for performing semantic searches. The current system is capable of working with both ISO13606 and OpenEHR archetypes.","1558-4615","978-1-4244-1814-5","10.1109/IEMBS.2008.4649448","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4649448","","Ontologies;Semantics;Standards;OWL;Tools;Medical services","Humans;Internet;Medical Record Linkage;Medical Records Systems, Computerized;Semantics","9","","6","IEEE","14 Oct 2008","","","IEEE","IEEE Conferences"
"Personal Healthcare Information System","M. Sain; H. Lee; W. -Y. Chung","Graduate School of Design and IT, Dong Seo University, Busan, South Korea; School of Computer and Information Network Engineering, Dong Seo University, Busan, South Korea; Division of Electronics, Computer and Telecommunication Engineering, Pukyong National University, Busan, South Korea","2009 Fifth International Joint Conference on INC, IMS and IDC","13 Nov 2009","2009","","","1540","1545","With the advancement in Personal Healthcare System now it's time to build a standalone application which can play an important role in Personal Healthcare System. Normally the requirement to build this kind of Healthcare application arises when we need a standalone application which can work without Physician. To build this application we studied several existing application and ongoing projects and tried to build a application which can give some diagnostic message for some specific information for ECG, Spo2, Body temperature etc. We studied different kind of application and their data like ECG, Spo2 etc, with their available application, their features and how to process all those data. The most difficult phase was to build such algorithm which can work independently without physician. We also try to implement and enhance pan- Tompkins PQRST algorithm go get some specific diagnosis. In this paper we try to analyze the requirement to build such application and after that implement that on short scale. This application can be very useful for daily computer user to measure their daily common healthcare measurement like ECG, Spo2 etc. In this paper we tried to make more concern on ECG analysis and give an introduction other features. To build this application we use J2EE and oscilloscope. We also modified the oscilloscope (java Program) according to our requirement. We also try to build a whole architecture which can work as a independent unit in personal healthcare system with analyze of some common known healthcare standard which are working on this field like HIMSS, OpenEHR, HL7 etc too.","","978-1-4244-5209-5","10.1109/NCM.2009.347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5331416","PQRST algorithm;Oscilloscope;HIMSS;OpenEHR;HL7;Data processing;Information system","Medical services;Information systems;Application software;Electrocardiography;Oscilloscopes;Biomedical measurements;Sensor systems;Computer networks;Telecommunication computing;Data processing","","7","","15","IEEE","13 Nov 2009","","","IEEE","IEEE Conferences"
"Using semantic technologies to promote interoperability between electronic healthcare records' information models","J. T. Fernandez-Breis; P. J. Vivancos-Vicente; M. Menarguez-Tortosa; D. Moner; J. A. Maldonado; R. Valencia-Garcia; T. G. Miranda-Mena","Departamento de Informatica y Sistemas, Universidad de Murcia, Murcia, Spain; Departamento de Informatica y Sistemas, Universidad de Murcia, Murcia, Spain; Departamento de Informatica y Sistemas, Universidad de Murcia, Murcia, Spain; BET Group, Technical University of Valencia; BET Group, Technical University of Valencia. e-mail: jamaldo@upvnet.upv.es; Departamento de Informatica y Sistemas, Universidad de Murcia, Murcia, Spain; Intelligent Methodologies (IMET)",2006 International Conference of the IEEE Engineering in Medicine and Biology Society,"15 Dec 2016","2006","","","2614","2617","There are currently different standards for representing electronic healthcare records (EHR). Each standard defines its own information models, so that, in order to promote the interoperability among standard-compliant information systems, the different information models must be semantically integrated. In this work, we present an ontological approach to promote interoperability among CEN- and OpenEHR- compliant information systems.","1557-170X","1-4244-0032-5","10.1109/IEMBS.2006.259686","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4462332","","Medical services;Information systems;Application software;Cities and towns;USA Councils;Context modeling;Databases;Real time systems;Ontologies;Internet","Biotechnology;Decision Support Systems, Clinical;Decision Support Techniques;Information Dissemination;Medical Records Systems, Computerized;Spain;Vocabulary, Controlled","6","","6","IEEE","15 Dec 2016","","","IEEE","IEEE Conferences"
