"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link"
"Abedian S.; Hanke S.; Hussein R.","Abedian, Somayeh (57084423200); Hanke, Sten (56246089700); Hussein, Rada (57532920800)","57084423200; 56246089700; 57532920800","Application of the openEHR reference model for PGHD: A case study on the DH-Convener initiative","2025","10.1016/j.ijmedinf.2024.105686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208116407&doi=10.1016%2fj.ijmedinf.2024.105686&partnerID=40&md5=7ab28bdaf89abde8676708268945e31a"
"Velikov S.; Merdzhanov K.; Leventi N.; Kundurdzhiev T.","Velikov, Stefan (57193776613); Merdzhanov, Kostadin (57873063000); Leventi, Nikoleta (57218957237); Kundurdzhiev, Todor (56527411900)","57193776613; 57873063000; 57218957237; 56527411900","Application of openEHR Platform for Data Exchange in Ophthalmology","2022","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137178800&partnerID=40&md5=cb0cb9b7d6f86eadc229b9e784f67a7b"
"Guimaraes T.; Duarte R.; Cunha J.; Gomes P.; Santos M.F.","Guimaraes, Tiago (56028519600); Duarte, Ricardo (57451978000); Cunha, Joao (57188750944); Gomes, Paulo (57747957900); Santos, Manuel Filipe (57203612534)","56028519600; 57451978000; 57188750944; 57747957900; 57203612534","Security and Immutability of Open Data in Healthcare","2023","10.1016/j.procs.2023.03.111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164469437&doi=10.1016%2fj.procs.2023.03.111&partnerID=40&md5=3d14afc1da70f8fa09ad2d0211046a7c"
"Anywar M.; Schreiweis B.; Ulrich H.","Anywar, Michael (57878931400); Schreiweis, Björn (55562120100); Ulrich, Hannes (56347799300)","57878931400; 55562120100; 56347799300","Strategies and Recommendation for Data Loading of FHIR-Based Data Marts with Focus on GDPR Compliance","2022","10.3233/SHTI220921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137514329&doi=10.3233%2fSHTI220921&partnerID=40&md5=9848019abde1c849847df054c1aaa56c"
"Gómez D.; Romero J.; López P.; Vázquez J.; Cappo C.; Pinto D.; Villalba C.","Gómez, Derlis (57716864100); Romero, Jesús (57716613500); López, Pablo (57716864200); Vázquez, José (57188633638); Cappo, Cristian (55606357600); Pinto, Diego (36970011900); Villalba, Cynthia (57192039478)","57716864100; 57716613500; 57716864200; 57188633638; 55606357600; 36970011900; 57192039478","Cloud architecture for electronic health record systems interoperability","2022","10.3233/THC-212806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130873736&doi=10.3233%2fTHC-212806&partnerID=40&md5=646b78c6c1796157bcb994ed3b3548f4"
"Pedrera-Jiménez M.; García-Barrio N.; Frid S.; Moner D.; Boscá-Tomás D.; Lozano-Rubí R.; Kalra D.; Beale T.; Muñoz-Carrero A.; Serrano-Balazote P.","Pedrera-Jiménez, Miguel (57217248648); García-Barrio, Noelia (57221956162); Frid, Santiago (57210805116); Moner, David (16175977600); Boscá-Tomás, Diego (58752544400); Lozano-Rubí, Raimundo (56029367000); Kalra, Dipak (57638498800); Beale, Thomas (23988550900); Muñoz-Carrero, Adolfo (58753234800); Serrano-Balazote, Pablo (58151969100)","57217248648; 57221956162; 57210805116; 16175977600; 58752544400; 56029367000; 57638498800; 23988550900; 58753234800; 58151969100","Can OpenEHR, ISO 13606, and HL7 FHIR Work Together? An Agnostic Approach for the Selection and Application of Electronic Health Record Standards to the Next-Generation Health Data Spaces","2023","10.2196/48702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181396017&doi=10.2196%2f48702&partnerID=40&md5=6fc4845e7aef38a639d59cc20430b7c9"
"Xudong L.; Shan N.; Hailing C.; Yexuan C.; Mengyang L.; Li W.; Lingtong M.","Xudong, Lu (59158023900); Shan, Nan (57715250100); Hailing, Cai (57715510600); Yexuan, Cheng (57715250200); Mengyang, Li (57715250300); Li, Wang (57715510700); Lingtong, Min (57716541500)","59158023900; 57715250100; 57715510600; 57715250200; 57715250300; 57715510700; 57716541500","The road to interoperability: OpenEHR modelling and implementation","2022","10.1016/B978-0-12-823413-6.00027-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130922176&doi=10.1016%2fB978-0-12-823413-6.00027-6&partnerID=40&md5=7686a6ee4cbaf67e1ab9b04a01b3ecff"
"Sachdeva S.","Sachdeva, Shelly (35956861000)","35956861000","Standard-based personalized healthcare delivery for kidney illness using deep learning","2023","10.1088/1361-6579/ace09f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167868137&doi=10.1088%2f1361-6579%2face09f&partnerID=40&md5=90b3e48b8d767eedae001b12ca3f765f"
"Dias M.; Sousa R.; Duarte J.; Peixoto H.; Abelha A.; Machado J.","Dias, Miguel (58722299800); Sousa, Regina (57216944143); Duarte, Júlio (14035650500); Peixoto, Hugo (35422730400); Abelha, António (6506287527); Machado, José (57943272100)","58722299800; 57216944143; 14035650500; 35422730400; 6506287527; 57943272100","Enhancing Data Science Interoperability: An Innovative System for Managing OpenEHR Structures","2023","10.1007/978-981-99-7969-1_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177871998&doi=10.1007%2f978-981-99-7969-1_21&partnerID=40&md5=19b18d908fc002f4b8eab31c03dfc5f0"
"Adel E.; El-Sappagh S.; Barakat S.; Kwak K.S.; Elmogy M.","Adel, Ebtsam (56536910000); El-Sappagh, Shaker (55233800700); Barakat, Sherif (57200257666); Kwak, Kyung Sup (7006457163); Elmogy, Mohammed (33567709900)","56536910000; 55233800700; 57200257666; 7006457163; 33567709900","Semantic Architecture for Interoperability in Distributed Healthcare Systems","2022","10.1109/ACCESS.2022.3223676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144017354&doi=10.1109%2fACCESS.2022.3223676&partnerID=40&md5=d30bc64a7fb6e64385e151a7c8187bb9"
"Alkarkoukly S.; Rajput A.-M.","Alkarkoukly, Samer (57224206983); Rajput, Abdul-Mateen (57220065232)","57224206983; 57220065232","An openEHR virtual patient template for pancreatic cancer","2021","10.3233/SHTI210618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120611785&doi=10.3233%2fSHTI210618&partnerID=40&md5=2440371dfb49bbb0092ab9bde6dc16ca"
"Abedian S.; Biglarkhani A.; Azami Ghadikolaei A.; Barahmand M.","Abedian, Somayeh (57084423200); Biglarkhani, Amin (57446702000); Azami Ghadikolaei, Ali (59142957800); Barahmand, Mohsen (59143057200)","57084423200; 57446702000; 59142957800; 59143057200","Development and Implementation of an Integrated Standard e-Prescription Model in Alignment with Iranian National EHR","2024","10.3233/SHTI240077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194128823&doi=10.3233%2fSHTI240077&partnerID=40&md5=47ab2aa6adca77c2a5ac0955c71343c4"
"Silva B.; Hak F.; Santos M.; Abelha A.","Silva, Beatriz (58483213200); Hak, Francini (57216954006); Santos, Manuel (57203612534); Abelha, António (6506287527)","58483213200; 57216954006; 57203612534; 6506287527","OpenEHR logic module: a tool for creating decision rules","2024","10.1016/j.procs.2023.12.229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183899056&doi=10.1016%2fj.procs.2023.12.229&partnerID=40&md5=37dc51a5411531ad5f0b281150ba7b5a"
"Tapuria A.; Kalra D.; Curcin V.","Tapuria, Archana (25647006300); Kalra, Dipak (56107739200); Curcin, Vasa (8510022100)","25647006300; 56107739200; 8510022100","Digital Analysis of Clinical Screening Criteria for a Rare Disease - Behcet's Disease","2023","10.3233/SHTI230527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164230212&doi=10.3233%2fSHTI230527&partnerID=40&md5=608bb4839f43db2b9231edfe981a4974"
"","","","MEDINFO 2021: One World, One Health - Global Partnership for Digital Innovation - Proceedings of the 18th World Congress on Medical and Health Informatics","2022","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133204504&partnerID=40&md5=6f3f9ce92407683ef30848954b998f7d"
"Ameur Y.; Bouzefrane S.; Thinh L.V.","Ameur, Yulliwas (57907394000); Bouzefrane, Samia (17433415100); Thinh, Le Vinh (57212212552)","57907394000; 17433415100; 57212212552","Handling security issues by using homomorphic encryption in multi-cloud environment","2023","10.1016/j.procs.2023.03.050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164535828&doi=10.1016%2fj.procs.2023.03.050&partnerID=40&md5=35280de46350c8617ba5dbd8b4202cf6"
"Min L.; Atalag K.; Tian Q.; Chen Y.; Lu X.","Min, Lingtong (56501474400); Atalag, Koray (6507195529); Tian, Qi (57201299095); Chen, Yani (57310570300); Lu, Xudong (55687460600)","56501474400; 6507195529; 57201299095; 57310570300; 55687460600","Verifying the feasibility of implementing semantic interoperability in different countries based on the OpenEHR approach: Comparative study of acute coronary syndrome registries","2021","10.2196/31288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117773242&doi=10.2196%2f31288&partnerID=40&md5=d70e9608f07f1e52a4ca2298e983ecc4"
"Duque-Fernandes A.; Vieira-Marques P.","Duque-Fernandes, Ana (59260951300); Vieira-Marques, Pedro (15623423100)","59260951300; 15623423100","Standardizing Care for Huntington's Disease: The Development of an openEHR Template for Motor Symptoms","2024","10.1016/j.procs.2024.06.323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201255674&doi=10.1016%2fj.procs.2024.06.323&partnerID=40&md5=f3ac5a11dbc78d23f895ad0a9fa1dcf9"
"Muszynski M.; Lugtigheid S.; Castor F.; Brinkkemper S.","Muszynski, Michel (57742764300); Lugtigheid, Sven (57742666200); Castor, Fernando (54945662000); Brinkkemper, Sjaak (15043525500)","57742764300; 57742666200; 54945662000; 15043525500","A Study on the Software Architecture Documentation Practices and Maturity in Open-Source Software Development","2022","10.1109/ICSA53651.2022.00013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132020918&doi=10.1109%2fICSA53651.2022.00013&partnerID=40&md5=4334dabf88114b727ec4585787727370"
"Kryszyn J.; Cywoniuk K.; Smolik W.T.; Wanta D.; Wróblewski P.; Midura M.","Kryszyn, Jacek (55513326400); Cywoniuk, Kamil (57560417600); Smolik, Waldemar T. (56631851000); Wanta, Damian (57193004790); Wróblewski, Przemysław (50263716700); Midura, Mateusz (57281060600)","55513326400; 57560417600; 56631851000; 57193004790; 50263716700; 57281060600","Performance of an openEHR based hospital information system","2022","10.1016/j.ijmedinf.2022.104757","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127534381&doi=10.1016%2fj.ijmedinf.2022.104757&partnerID=40&md5=2fcc692d713cfce241540eeac0b8cae7"
"Jones M.","Jones, Monica (57715770900)","57715770900","Caribbean/PAHO-Jamaican case study","2022","10.1016/B978-0-12-823413-6.00026-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130962080&doi=10.1016%2fB978-0-12-823413-6.00026-4&partnerID=40&md5=ff3881891549eadef36cb21da008cd0e"
"Bode L.; Schamer S.; Böhnke J.; Bott O.J.; Marschollek M.; Jack T.; Wulff A.","Bode, Louisa (57419346300); Schamer, Sven (57420218400); Böhnke, Julia (57419521100); Bott, Oliver Johannes (56505232100); Marschollek, Michael (22734965900); Jack, Thomas (7005552947); Wulff, Antje (57201981959)","57419346300; 57420218400; 57419521100; 56505232100; 22734965900; 7005552947; 57201981959","Tracing the Progression of Sepsis in Critically Ill Children: Clinical Decision Support for Detection of Hematologic Dysfunction","2022","10.1055/a-1950-9637","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140240962&doi=10.1055%2fa-1950-9637&partnerID=40&md5=83a3a711212309db7180b0abc1dcbbc9"
"Zhang S.; Cornet R.; Benis N.","Zhang, Shuxin (57797279700); Cornet, Ronald (57201825238); Benis, Nirupama (55097083500)","57797279700; 57201825238; 55097083500","Cross-Standard Health Data Harmonization using Semantics of Data Elements","2024","10.1038/s41597-024-04168-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212767760&doi=10.1038%2fs41597-024-04168-1&partnerID=40&md5=b60ccb39a0651db892e29b4be03f729b"
"Oliveira D.; Santos A.; Braga D.; Silva I.; Sousa R.; Abelha A.; Machado J.","Oliveira, Daniela (57212500652); Santos, Ana (58588430000); Braga, Diana (58031944200); Silva, Inês (57205744635); Sousa, Regina (57216944143); Abelha, Antonio (6506287527); Machado, Jose (57943272100)","57212500652; 58588430000; 58031944200; 57205744635; 57216944143; 6506287527; 57943272100","OpenEHR modelling applied to Complementary Diagnostics Requests","2022","10.1016/j.procs.2022.10.148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144824043&doi=10.1016%2fj.procs.2022.10.148&partnerID=40&md5=860a35222661de3243855a8f9f6a295a"
"Hovenga E.J.S.","Hovenga, Evelyn J.S. (6603911601)","6603911601","Nursing Informatics Integration into Mainstream Health Informatics","2022","10.3233/SHTI220947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140933714&doi=10.3233%2fSHTI220947&partnerID=40&md5=f1a3193e518102217f4d5df4c41c0faa"
"Bonacin R.; de Figueiredo E.B.; de Franco Rosa F.; dos Reis J.C.; Dametto M.","Bonacin, Rodrigo (6506078089); de Figueiredo, Elaine Barbosa (57465959400); de Franco Rosa, Ferrucio (25640638600); dos Reis, Julio Cesar (7003435386); Dametto, Mariangela (57262381700)","6506078089; 57465959400; 25640638600; 7003435386; 57262381700","The reuse of electronic health records information models in the oncology domain: Studies with the bioframe framework","2024","10.1016/j.jbi.2024.104704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201321049&doi=10.1016%2fj.jbi.2024.104704&partnerID=40&md5=edfd1c8699f0355e82ba2c2b183c7972"
"Sachdeva S.; Bhalla S.","Sachdeva, Shelly (35956861000); Bhalla, Subhash (7005994808)","35956861000; 7005994808","Using Knowledge Graph Structures for Semantic Interoperability in Electronic Health Records Data Exchanges","2022","10.3390/info13020052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123043373&doi=10.3390%2finfo13020052&partnerID=40&md5=1a3f41cb71b2e4f85c10403a1eb00edd"
"Fadaizadeh L.; Velayati F.; Sanaat M.","Fadaizadeh, Lida (16635778300); Velayati, Farnia (57219486899); Sanaat, Mohammad (57289867800)","16635778300; 57219486899; 57289867800","Telemonitoring in patients with asthma: a systematic review","2024","10.1080/02770903.2023.2255267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171652555&doi=10.1080%2f02770903.2023.2255267&partnerID=40&md5=55ff83cb2916b5c3601b5d6c0571b279"
"Oliveira D.; Miranda R.; Leuschner P.; Abreu N.; Santos M.F.; Abelha A.; Machado J.","Oliveira, Daniela (57212500652); Miranda, Rui (57211804745); Leuschner, Pedro (35364756800); Abreu, Nuno (57201582091); Santos, Manuel Filipe (57203612534); Abelha, Antonio (6506287527); Machado, José (57943272100)","57212500652; 57211804745; 35364756800; 57201582091; 57203612534; 6506287527; 57943272100","OpenEHR modeling: improving clinical records during the COVID-19 pandemic","2021","10.1007/s12553-021-00556-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105968830&doi=10.1007%2fs12553-021-00556-4&partnerID=40&md5=1c24a8159384e8caefc23ca6724b092d"
"Moreira A.; Santos M.F.","Moreira, Ailton (57216965432); Santos, Manuel Filipe (57203612534)","57216965432; 57203612534","An Open Data-Based Omnichannel Approach for Personalized Healthcare","2024","10.3390/info15070415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199899794&doi=10.3390%2finfo15070415&partnerID=40&md5=50ad8f503872849f5db1c2dd4a3d744b"
"Ladas N.; Franz S.; Haarbrandt B.; Sommer K.K.; Kohler S.; Ballout S.; Fiebeck J.; Marschollek M.; Gietzelt M.","Ladas, Nektarios (35337386200); Franz, Stefan (57023370700); Haarbrandt, Birger (56002551600); Sommer, Kim Katrin (57208243704); Kohler, Severin (57420042300); Ballout, Sarah (57208243490); Fiebeck, Johanna (57063239200); Marschollek, Michael (22734965900); Gietzelt, Matthias (24831498100)","35337386200; 57023370700; 56002551600; 57208243704; 57420042300; 57208243490; 57063239200; 22734965900; 24831498100","OpenEHR-to-FHIR: Converting openEHR Compositions to Fast Healthcare Interoperability Resources (FHIR) for the German Corona Consensus Dataset (GECCO)","2022","10.3233/SHTI210963","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123165765&doi=10.3233%2fSHTI210963&partnerID=40&md5=001c1652ddbdf61c99aec9bc4d5bba79"
"Iglesias N.; Juarez J.M.; Campos M.","Iglesias, Natalia (57189082514); Juarez, Jose M. (8863244300); Campos, Manuel (35475607200)","57189082514; 8863244300; 35475607200","Business Process Model and Notation and openEHR Task Planning for Clinical Pathway Standards in Infections: Critical Analysis","2022","10.2196/29927","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137853552&doi=10.2196%2f29927&partnerID=40&md5=453099bdc0ae078f7ec0f8b57832a17d"
"de Mello B.H.; Rigo S.J.; da Costa C.A.; da Rosa Righi R.; Donida B.; Bez M.R.; Schunke L.C.","de Mello, Blanda Helena (57429314800); Rigo, Sandro José (57191605344); da Costa, Cristiano André (34976368800); da Rosa Righi, Rodrigo (24825663800); Donida, Bruna (59015494200); Bez, Marta Rosecler (36650246000); Schunke, Luana Carina (56094847200)","57429314800; 57191605344; 34976368800; 24825663800; 59015494200; 36650246000; 56094847200","Semantic interoperability in health records standards: a systematic literature review","2022","10.1007/s12553-022-00639-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123640532&doi=10.1007%2fs12553-022-00639-w&partnerID=40&md5=eaeafe45407b69f79bcc056ee2689736"
"Randmaa R.; Bossenko I.; Klementi T.; Piho G.; Ross P.","Randmaa, Rainer (57976265100); Bossenko, Igor (57951337000); Klementi, Toomas (57977000100); Piho, Gunnar (36497203700); Ross, Peeter (15760838900)","57976265100; 57951337000; 57977000100; 36497203700; 15760838900","Evaluating business meta-models for semantic interoperability with FHIR resources","2022","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142447401&partnerID=40&md5=aca338c490fe75febf7829853066c24d"
"Pawar V.; Patel A.K.; Sachdeva S.","Pawar, Vijayant (57216269436); Patel, Anil Kumar (57485320700); Sachdeva, Shelly (35956861000)","57216269436; 57485320700; 35956861000","Blockchain-Enabled System for Interoperable Healthcare","2022","10.1007/978-3-030-96600-3_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126188654&doi=10.1007%2f978-3-030-96600-3_9&partnerID=40&md5=b24eb4ca9499f260b3fa80cc302f91fc"
"","","","1st International Conference on Data Science and Artificial Intelligence, DSAI 2023","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177835108&partnerID=40&md5=337a69e77b07d2b613775be64b14d45e"
"Silva S.T.; Hak F.; Machado J.","Silva, Sarah Tifany (57203203314); Hak, Francini (57216954006); Machado, José (57943272100)","57203203314; 57216954006; 57943272100","Rule-based Clinical Decision Support System using the OpenEHR Standard","2022","10.1016/j.procs.2022.03.098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132194511&doi=10.1016%2fj.procs.2022.03.098&partnerID=40&md5=c8c752f5ce49f27dbc82c7ed9abc4291"
"Ladas N.; Franz S.; Wolff D.; Rehberg A.; Marschollek M.; Gietzelt M.","Ladas, Nektarios (35337386200); Franz, Stefan (57023370700); Wolff, Dominik (57201946256); Rehberg, Alina (57211667067); Marschollek, Michael (22734965900); Gietzelt, Matthias (24831498100)","35337386200; 57023370700; 57201946256; 57211667067; 22734965900; 24831498100","Semantic Mapping of Named-Entities in openEHR Templates and Ad-hoc Generation of Compositions","2024","10.3233/SHTI240371","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202003177&doi=10.3233%2fSHTI240371&partnerID=40&md5=2bdbe581e16aa33552ceb60a6eacbf08"
"Kryszyn J.; Smolik W.T.; Wanta D.; Wróblewski P.; Midura M.","Kryszyn, Jacek (55513326400); Smolik, Waldemar T. (56631851000); Wanta, Damian (57193004790); Wróblewski, Przemysław (50263716700); Midura, Mateusz (57281060600)","55513326400; 56631851000; 57193004790; 50263716700; 57281060600","Comparison of openEHR open-source servers","2024","10.24425/ijet.2024.149526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189334348&doi=10.24425%2fijet.2024.149526&partnerID=40&md5=a72b012097451d32bcb3373301abd66d"
"Da Silva M.A.P.; Times V.C.; De Araujo A.M.C.; Da Silva P.C.","Da Silva, Marcio Alexandre Pereira (56459438100); Times, Valeria Cesario (8659107600); De Araujo, Andre Magno Costa (8317904500); Da Silva, Paulo Caetano (56714719800)","56459438100; 8659107600; 8317904500; 56714719800","Toward an Adaptive Software Architecture for Archetype-Based Health-Care Applications","2022","10.1109/MS.2021.3070418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103758591&doi=10.1109%2fMS.2021.3070418&partnerID=40&md5=4a800e83f382fa730a98b648e2662a37"
"Kinast B.; Rohde H.; Anywar M.; Bronsch T.; Voran J.; Kreidl F.; Frank D.; Schreiweis B.","Kinast, Benjamin (57231500800); Rohde, Henrik (59297742100); Anywar, Michael (57878931400); Bronsch, Tobias (56820110500); Voran, Jakob (57223155130); Kreidl, Felix (59297771800); Frank, Derk (7201798220); Schreiweis, Björn (55562120100)","57231500800; 59297742100; 57878931400; 56820110500; 57223155130; 59297771800; 7201798220; 55562120100","Implementation of an Atrioventricular Valve Intervention Registry: Comparative Study of REDCap vs. CDR-Based openEHR Registry","2024","10.3233/SHTI240595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202007014&doi=10.3233%2fSHTI240595&partnerID=40&md5=3f1c1c630af0e50dcfda2ba30122ce62"
