Authors,Publication Year,DOI
J. T. Fernandez-Breis; M. Menarguez-Tortosa; C. Martinez-Costa; E. Fernandez-Breis; J. Herrero-Sempere; D. Moner; J. Sanchez; R. Valencia-Garcia; M. Robles,2008,10.1109/IEMBS.2008.4649448
M. Sain; H. Lee; W. -Y. Chung,2009,10.1109/NCM.2009.347
J. T. Fernandez-Breis; P. J. Vivancos-Vicente; M. Menarguez-Tortosa; D. Moner; J. A. Maldonado; R. Valencia-Garcia; T. G. Miranda-Mena,2006,10.1109/IEMBS.2006.259686
W. Schramm; H. Köstinger; K. Bayrhammer; M. Fiedler; T. Grechenig,2012,10.1109/BHI.2012.6211517
S. Sachdeva; D. Batra; S. Batra,2020,10.1109/BIBM49941.2020.9313343
S. Kulshrestha; S. Sachdeva,2014,10.1109/IC3.2014.6897167
R. S. Puttini; A. A. Toffanello; R. M. Chaim; G. Alves; J. M. P. Rotzsch; É. O. Carvalho; E. Ishikawa; A. P. Araújo; E. C. Oliveira,2017,10.1109/ICSC.2017.98
G. Ma; J. Liu; Z. Wei,2010,10.1109/iCECE.2010.1168
D. Păun; D. Sauciuc; O. Stan; O. Iosif; C. Dehelean; L. Miclea,2010,10.1109/AQTR.2010.5520713
V. Papež; S. Denaxas; H. Hemingway,2017,10.1109/CBMS.2017.73
C. C. Barca; C. M. Lagunar; J. M. Rodríguez; A. M. Quintero; I. R. M. Martins; I. Martínez; M. A. Sanguino; T. P. Lobo,2014,10.1109/BHI.2014.6864311
H. Xu; J. Pang; X. Yang; J. Yu; D. Zhao,2019,10.1109/BIBM47256.2019.8983089
I. Lasorsa; M. Ajc̆ević; P. D'Antrassi; G. Carlini; A. Accardo; S. Marceglia,2016,10.1109/MIPRO.2016.7522220
O. Stan; D. Sauciuc; L. Miclea,2012,10.1109/AQTR.2012.6237763
N. A. M. Macedo; N. A. G. Hilares; J. P. P. Quispe; R. A. Matutti,2010,10.1109/PAHCE.2010.5474589
A. Muslim; A. B. Mutiara; A. Suhendra; T. Oswari,2018,10.1109/IAC.2018.8780494
L. Lianas; F. Frexia; G. Delussu; P. Anedda; G. Zanetti,2014,10.1109/HealthCom.2014.7001871
H. V. César,2013,10.1109/ASONAM.2013.6785914
L. M. Gomes; H. Guerra; N. Bem; C. Andrade,2014,10.1109/CISTI.2014.6876956
A. Roehrs; C. A. da Costa; R. da Rosa Righi; S. J. Rigo; M. H. Wichman,2019,10.1109/JBHI.2018.2836138
C. Pereira; A. Pinto; D. Ferreira; A. Aguiar,2017,10.1109/JIOT.2017.2689682
V. Gupta; S. Sachdeva; S. Bhalla,2020,10.1109/ACCESS.2020.3037710
C. Pereira; S. Frade; P. Brandão; R. Correia; A. Aguiar,2014,10.1109/HealthCom.2014.7001821
F. F. Walter Viktor Walter-Tscharf,2022,10.1109/HPCC-DSS-SmartCity-DependSys57074.2022.00340
M. Muszynski; S. Lugtigheid; F. Castor; S. Brinkkemper,2022,10.1109/ICSA53651.2022.00013
L. Marco-Ruiz; J. A. Maldonado; V. Traver; R. Karlsen; J. G. Bellika,2014,10.1109/BHI.2014.6864416
Y. Ding; Z. Hu; Y. Wang; X. Xu; S. Nan; H. Duan,2023,10.1109/BigDIA60676.2023.10429558
M. Beštek; K. Curtis; A. Brodnik,2015,10.1109/WiMOB.2015.7347983
