Title,Authors,Publication Year,DOI
Implementation of an Atrioventricular Valve Intervention Registry: Comparative Study of REDCap vs. CDR-Based openEHR Registry,"Kinast B, Rohde H, Anywar M, Bronsch T, Voran J, Kreidl F, Frank D, Schreiweis B.",2024,10.3233/SHTI240595
Transformation of standardized clinical models based on OWL technologies: from CEM to OpenEHR archetypes,"Legaz-García Mdel C, Menárguez-Tortosa M, Fernández-Breis JT, Chute CG, Tao C.",2015,10.1093/jamia/ocu027
Expressing clinical data sets with openEHR archetypes: a solid basis for ubiquitous computing,"Garde S, Hovenga E, Buck J, Knaup P.",2007,10.1016/j.ijmedinf.2007.02.004
Validating archetypes for the Multiple Sclerosis Functional Composite,"Braun M, Brandt AU, Schulz S, Boeker M.",2014,10.1186/1472-6947-14-64
Archetype relational mapping - a practical openEHR persistence solution,"Wang L, Min L, Wang R, Lu X, Duan H.",2015,10.1186/s12911-015-0212-0
An Open Information Model-Based Repository for Sustainable Re-Use of Heterogeneous Pandemics Research Data,"Scheuermann K, Hufeland P, Haarbrandt B, Hanss S, Joseph M, Kohler S, Krefting D, Richter J, Tute E, Wolf KH, Marschollek M.",2024,10.3233/SHTI240808
An In-Depth Exploration of Mapping openEHR and PGHD: A Case Study on Fitbit-Generated Data,"Abedian S, Taucher C, Perscha S, Djuris M, Hussein R, Hanke S.",2024,10.3233/SHTI240442
Modeling clinical activities based on multi-perspective declarative process mining with openEHR's characteristic,"Xu H, Pang J, Yang X, Yu J, Li X, Zhao D.",2020,10.1186/s12911-020-01323-7
Towards semantic interoperability for electronic health records,"Garde S, Knaup P, Hovenga E, Heard S.",2007,10.1160/ME5001
Process Analysis and Decision Support Tools in Parenteral Nutrition in Children,"Žitko Z, Končar M, Cifrek M.",2018,
"Configuration of Input Forms in EHR Systems Using Spreadsheets, openEHR Archetypes and Templates","Sundvall E, Terner A, Broberg H, Gillespie C.",2019,10.3233/SHTI190645
Utilising the FOXS Stack for FAIR Architected Data Access,"Meredith J, Whitehead N, Dacey M.",2021,10.3233/SHTI210832
Integrating a Categorial Structure for Clinical Practice into EHRs,Hovenga EJS.,2024,10.3233/SHTI230930
"On the seamless, harmonized use of ISO/IEEE11073 and openEHR","Trigo JD, Kohl CD, Eguzkiza A, Martínez-Espronceda M, Alesanco Á, Serrano L, García J, Knaup P.",2014,10.1109/JBHI.2013.2285441
Modelling of Operative Report Documents for Data Integration into an openEHR-Based Enterprise Data Warehouse,"Haarbrandt B, Wilschko A, Marschollek M.",2016,
From ObsCare Software to an OpenEHR Platform: Modelling Obstetric Archetypes,"Maranhão PA, Pereira AM, Bacelar-Silva G, Gonçalves-Ferreira D, Vieira-Marques P, Silva-Costa T, Cruz-Correia RJ.",2019,
Personalized-detailed clinical model for data interoperability among clinical standards,"Khan WA, Hussain M, Afzal M, Amin MB, Saleem MA, Lee S.",2013,10.1089/tmj.2012.0189
"Structured, Harmonized, and Interoperable Integration of Clinical Routine Data to Compute Heart Failure Risk Scores","Sommer KK, Amr A, Bavendiek U, Beierle F, Brunecker P, Dathe H, Eils J, Ertl M, Fette G, Gietzelt M, Heidecker B, Hellenkamp K, Heuschmann P, Hoos JDE, Kesztyüs T, Kerwagen F, Kindermann A, Krefting D, Landmesser U, Marschollek M, Meder B, Merzweiler A, Prasser F, Pryss R, Richter J, Schneider P, Störk S, Dieterich C.",2022,10.3390/life12050749
Evaluating Model-Driven Development for large-scale EHRs through the openEHR approach,"Christensen B, Ellingsen G.",2016,10.1016/j.ijmedinf.2016.02.004
A Computer-Interpretable Guideline for COVID-19: Rapid Development and Dissemination,"Nan S, Tang T, Feng H, Wang Y, Li M, Lu X, Duan H.",2020,10.2196/21628
Representing Rules for Clinical Data Quality Assessment Based on OpenEHR Guideline Definition Language,"Tian Q, Han Z, An J, Lu X, Duan H.",2019,10.3233/SHTI190557
"IoMT Platform for Pervasive Healthcare Data Aggregation, Processing, and Sharing Based on OneM2M and OpenEHR","S Rubí JN, L Gondim PR.",2019,10.3390/s19194283
Challenges and Lessons Learned in Mapping HL7 v2 Data to openEHR: Insights from UKSH Medical Data Integration Center,"Anywar M, Macedo M, Pazmino S, Bronsch T, Kinast B, Kock-Schoppenhauer AK, Schreiweis B.",2024,10.3233/SHTI240658
Cross-Standard Health Data Harmonization using Semantics of Data Elements,"Zhang S, Cornet R, Benis N.",2024,10.1038/s41597-024-04168-1
"An Intelligent Ecosystem for Providing Support in Prehospital Trauma Care in Cuenca, Ecuador","Timbi-Sisalima C, Rodas EB, Salamea JC, Sacoto H, Monje-Ortega D, Robles-Bykbaev V.",2015,
Domain Modeling and Application Development of an Archetype- and XML-based EHRS. Practical Experiences and Lessons Learnt,"Kropf S, Chalopin C, Lindner D, Denecke K.",2017,10.4338/ACI-2017-01-RA-0009
Experiences of building a medical data acquisition system based on two-level modeling,"Li B, Li J, Lan X, An Y, Gao W, Jiang Y.",2018,10.1016/j.ijmedinf.2018.01.016
Ontology content patterns as bridge for the semantic representation of clinical information,"Martínez-Costa C, Schulz S.",2014,10.4338/ACI-2014-04-RA-0031
Query Translation Between openEHR and i2b2,"Fette G, Kaspar M, Liman L, Dietrich G, Ertl M, Krebs J, Störk S, Puppe F.",2019,
A migration to an openEHR-based clinical application,"Kashfi H, Torgersson O.",2009,
Towards the Implementation of an openEHR-based Open Source EHR Platform (a vision paper),Pazos Gutiérrez P.,2015,
MicroShare: Privacy-Preserved Medical Resource Sharing through MicroService Architecture,"Yang Y, Zu Q, Liu P, Ouyang D, Li X.",2018,10.7150/ijbs.24617
The interaction of structured data using openEHR and large Language models for clinical decision support in prostate cancer,"Kaiser P, Yang S, Bach M, Breit C, Mertz K, Stieltjes B, Ebbing J, Wetterauer C, Henkel M.",2025,10.1007/s00345-024-05423-1
Standard based personalized healthcare delivery for kidney illness using deep learning,Sachdeva S.,2023,10.1088/1361-6579/ace09f
Using openEHR's Guideline Definition Language for Representing Percutaneous Coronary Intervention Patient Safety Rules in a Dynamic Checklist System,"Lu L, Nan S, Zhang S, Lu X, Duan H.",2019,10.3233/SHTI190611
A Process for the Representation of openEHR ADL Archetypes in OWL Ontologies,"Porn AM, Peres LM, Didonet Del Fabro M.",2015,
Preliminary Analysis of Structured Reporting in the HiGHmed Use Case Cardiology: Challenges and Measures,"Kindermann A, Tute E, Benda S, Löpprich M, Richter-Pechanski P, Dieterich C.",2021,10.3233/SHTI210068
SNOMED CT module-driven clinical archetype management,"Allones JL, Taboada M, Martinez D, Lozano R, Sobrido MJ.",2013,10.1016/j.jbi.2013.01.003
Validation of the openEHR archetype library by using OWL reasoning,"Menárguez-Tortosa M, Fernández-Breis JT.",2011,
OWL-based reasoning methods for validating archetypes,"Menárguez-Tortosa M, Fernández-Breis JT.",2013,10.1016/j.jbi.2012.11.009
Combining Archetypes with Fast Health Interoperability Resources in Future-proof Health Information Systems,"Bosca D, Moner D, Maldonado JA, Robles M.",2015,
Can openEHR archetypes be used in a national context? The Danish archetype proof-of-concept project,"Bernstein K, Tvede I, Petersen J, Bredegaard K.",2009,
Semi-Automated Method to Generate Simulated Clinical Data from OpenEHR Platform - Think!EHR,Rajput AM.,2020,10.3233/SHTI200732
An automated routine childhood immunization approach using openEHR,"Liu Z, Qamar N, Qian J.",2013,
Exploiting Temporal Constraints of Clinical Guidelines by Applying OpenEHR Archetypes,"Cintho LMM, Garcia D, da Silva Santos BH, Sacchi L, Quaglini S, Moro CMC.",2017,
Applying a user centered design methodology in a clinical context,Kashfi H.,2010,
Model driven development of clinical information sytems using openEHR,"Atalag K, Yang HY, Tempero E, Warren J.",2011,
Collaborative development of clinical templates as a national resource,"Hoy D, Hardiker NR, McNicoll IT, Westwell P, Bryans A.",2009,10.1016/j.ijmedinf.2008.06.003
Local EHR management based on openEHR and EN13606,"Păun ID, Sauciuc DG, Iosif NO, Stan O, Perşe A, Dehelean C, Miclea L.",2011,10.1007/s10916-009-9395-1
Designing Archetype Models for Each Step of Workflow in Medication,"Kobayashi S, Kume N, Yoshihara H.",2019,10.3233/SHTI190605
A Scalable Data Access Layer to Manage Structured Heterogeneous Biomedical Data,"Delussu G, Lianas L, Frexia F, Zanetti G.",2016,10.1371/journal.pone.0168004
An openEHR Approach to Detailed Clinical Model Development: Tobacco Smoking Summary Archetype as a Case Study,"Wei PC, Atalag K, Day K.",2019,10.1055/s-0039-1681074
Using archetypes for defining CDA templates,"Moner D, Moreno A, Maldonado JA, Robles M, Parra C.",2012,
A methodology based on openEHR archetypes and software agents for developing e-health applications reusing legacy systems,"Cardoso de Moraes JL, de Souza WL, Pires LF, do Prado AF.",2016,10.1016/j.cmpb.2016.07.013
Discovering Clinical Information Models Online to Promote Interoperability of Electronic Health Records: A Feasibility Study of OpenEHR,"Yang L, Huang X, Li J.",2019,10.2196/13504
Mapping HL7 CDA R2 Formatted Mass Screening Data to OpenEHR Archetypes,"Kobayashi S, Kume N, Yoshihara H.",2017,
iT2DM Project: A Framework for Secondary Use of EHR Data for High-Throughput Phenotyping in Diabetes,"Wei Y, Shang Y, Wang J, He D, Zhou S, Zhang W, Shi L, Chen Y, Jiang K, Wu H, Dong J.",2017,
Representing a chemotherapy guideline using openEHR and rules,"Chen R, Georgii-Hemming P, Ahlfeldt H.",2009,
Towards a comprehensive electronic patient record to support an innovative individual care concept for premature infants using the openEHR approach,"Buck J, Garde S, Kohl CD, Knaup-Gregori P.",2009,10.1016/j.ijmedinf.2009.03.001
Modeling shared care plans using CONTsys and openEHR to support shared homecare of the elderly,"Hägglund M, Chen R, Koch S.",2011,10.1136/jamia.2009.000216
Towards ISO 13606 and openEHR archetype-based semantic interoperability,"Martínez-Costa C, Menárguez-Tortosa M, Fernández-Breis JT.",2009,
Open data models for smart health interconnected applications: the example of openEHR,"Demski H, Garde S, Hildebrand C.",2016,10.1186/s12911-016-0376-2
Structuring Legacy Pathology Reports by openEHR Archetypes to Enable Semantic Querying,"Kropf S, Krücken P, Mueller W, Denecke K.",2017,10.3414/ME16-01-0073
Privacy-preserving Statistical Query and Processing on Distributed OpenEHR Data,"Hailemichael MA, Marco-Ruiz L, Bellika JG.",2015,
System of Criteria for Treatment Evaluation of Acromegaly in Bulgaria,"Krastev E, Tcharaktchiev D, Markov E.",2020,10.3233/SHTI200583
"Special Topic Interoperability and EHR: Combining openEHR, SNOMED, IHE, and Continua as approaches to interoperability on national eHealth","Beštek M, Stanimirović D.",2017,10.4338/ACI-2017-01-RA-0011
Analyzing the performance of a blockchain-based personal health record implementation,"Roehrs A, da Costa CA, da Rosa Righi R, da Silva VF, Goldim JR, Schmidt DC.",2019,10.1016/j.jbi.2019.103140
Retrospective checking of compliance with practice guidelines for acute stroke care: a novel experiment using openEHR's Guideline Definition Language,"Anani N, Chen R, Prazeres Moreira T, Koch S.",2014,10.1186/1472-6947-14-39
Review of semantically interoperable electronic health records for ubiquitous healthcare,"Hwang KH, Chung KI, Chung MA, Choi D.",2010,10.4258/hir.2010.16.1.1
Development and Implementation of an Integrated Standard e-Prescription Model in Alignment with Iranian National EHR,"Abedian S, Biglarkhani A, Azami Ghadikolaei A, Barahmand M.",2024,10.3233/SHTI240077
Investigation of users' experiences for online access to their electronic health records in Japan,"Alami LSEE, Nemoto A, Nakata Y.",2021,10.35772/ghm.2020.01073
Querying Archetype-Based Electronic Health Records Using Hadoop and Dewey Encoding of openEHR Models,"Sundvall E, Wei-Kleiner F, Freire SM, Lambrix P.",2017,
A Graphical Representation Model for Electronic Health Records: A Preliminary Study,"Yang L, Huang X, Hou L, Qian Q, Li J.",2019,10.3233/SHTI190565
Detailed clinical models: a review,"Goossen W, Goossen-Baremans A, van der Zel M.",2010,10.4258/hir.2010.16.4.201
Archetypes: the PropeR way,"van der Linden H, Grimson J, Tange H, Talmon J, Hasman A.",2004,
Comparison of Open-Source Electronic Health Record Systems Based on Functional and User Performance Criteria,"Purkayastha S, Allam R, Maity P, Gichoya JW.",2019,10.4258/hir.2019.25.2.89
Peer Review of Clinical Information Models: A Web 2.0 Crowdsourced Approach,"Leslie H, Ljosland Bakke S.",2017,
