PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28870379","eSource for clinical trials: Implementation and evaluation of a standards-based approach in a real world trial","Ethier JF, Curcin V, McGilchrist MM, Choi Keung SNL, Zhao L, Andreasson A, Bródka P, Michalski R, Arvanitis TN, Mastellos N, Burgun A, Delaney BC.","Int J Med Inform. 2017 Oct;106:17-24. doi: 10.1016/j.ijmedinf.2017.06.006. Epub 2017 Jun 29.","Ethier JF","Int J Med Inform","2017","2017/09/06","","","10.1016/j.ijmedinf.2017.06.006"
"27577388","Key Data Elements in Myeloid Leukemia","Varghese J, Holz C, Neuhaus P, Bernardi M, Boehm A, Ganser A, Gore S, Heaney M, Hochhaus A, Hofmann WK, Krug U, Müller-Tidow C, Smith A, Weltermann A, de Witte T, Hehlmann R, Dugas M.","Stud Health Technol Inform. 2016;228:282-6.","Varghese J","Stud Health Technol Inform","2016","2016/09/01","","",""
"36158168","Introductory evidence on data management and practice systems of forensic autopsies in sudden and unnatural deaths: a scoping review","Prahladh S, van Wyk J.","Egypt J Forensic Sci. 2022;12(1):38. doi: 10.1186/s41935-022-00293-3. Epub 2022 Sep 19.","Prahladh S","Egypt J Forensic Sci","2022","2022/09/26","PMC9484346","","10.1186/s41935-022-00293-3"
"29677955","Compatibility Between Metadata Standards: Import Pipeline of CDISC ODM to the Samply.MDR","Kock-Schoppenhauer AK, Ulrich H, Wagen-Zink S, Duhm-Harbeck P, Ingenerf J, Neuhaus P, Dugas M, Bruland P.","Stud Health Technol Inform. 2018;247:221-225.","Kock-Schoppenhauer AK","Stud Health Technol Inform","2018","2018/04/22","","",""
"26063254","Standardized data sharing in a paediatric oncology research network--a proof-of-concept study","Hochedlinger N, Nitzlnader M, Falgenhauer M, Welte S, Hayn D, Koumakis L, Potamias G, Tsiknakis M, Saraceno D, Rinaldi E, Ladenstein R, Schreier G.","Stud Health Technol Inform. 2015;212:27-34.","Hochedlinger N","Stud Health Technol Inform","2015","2015/06/12","","",""
"28061771","S2O - A software tool for integrating research data from general purpose statistic software into electronic data capture systems","Bruland P, Dugas M.","BMC Med Inform Decis Mak. 2017 Jan 7;17(1):3. doi: 10.1186/s12911-016-0402-4.","Bruland P","BMC Med Inform Decis Mak","2017","2017/01/08","PMC5219713","","10.1186/s12911-016-0402-4"
"27830254","Clinical Research Informatics Contributions from 2015","Daniel C, Choquet R.","Yearb Med Inform. 2016 Nov 10;(1):219-223. doi: 10.15265/IY-2016-044.","Daniel C","Yearb Med Inform","2016","2016/11/11","PMC5171544","","10.15265/IY-2016-044"
"36073494","Assessment of the Consistency of Categorical Features Within the DZHK Biobanking Basic Set","Yusuf K, Tahar K, Sax U, Hoffmann W, Krefting D.","Stud Health Technol Inform. 2022 Aug 17;296:98-106. doi: 10.3233/SHTI220809.","Yusuf K","Stud Health Technol Inform","2022","2022/09/08","","","10.3233/SHTI220809"
"30127646","CDEGenerator: an online platform to learn from existing data models to build model registries","Varghese J, Fujarski M, Hegselmann S, Neuhaus P, Dugas M.","Clin Epidemiol. 2018 Aug 10;10:961-970. doi: 10.2147/CLEP.S170075. eCollection 2018.","Varghese J","Clin Epidemiol","2018","2018/08/22","PMC6089100","","10.2147/CLEP.S170075"
"27577395","Automated Import of Clinical Data from HL7 Messages into OpenClinica and tranSMART Using Mirth Connect","Camacho Rodriguez JC, Stäubert S, Löbe M.","Stud Health Technol Inform. 2016;228:317-21.","Camacho Rodriguez JC","Stud Health Technol Inform","2016","2016/09/01","","",""
"34042877","Ontological Modelling and Execution of Phenotypic Queries in the Leipzig Health Atlas","Uciteli A, Beger C, Wagner J, Kiel A, Meineke FA, Stäubert S, Löbe M, Hänsel R, Schuster J, Kirsten T, Herre H.","Stud Health Technol Inform. 2021 May 24;278:66-74. doi: 10.3233/SHTI210052.","Uciteli A","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210052"
"38035971","Convert-Pheno: A software toolkit for the interconversion of standard data models for phenotypic data","Rueda M, Leist IC, Gut IG.","J Biomed Inform. 2024 Jan;149:104558. doi: 10.1016/j.jbi.2023.104558. Epub 2023 Nov 29.","Rueda M","J Biomed Inform","2024","2023/11/30","","","10.1016/j.jbi.2023.104558"
"36563036","Clinical Source Data Production and Quality Control in Real-world Studies: Proposal for Development of the eSource Record System","Wang B, Lai J, Jin F, Liao X, Zhu H, Yao C.","JMIR Res Protoc. 2022 Dec 23;11(12):e42754. doi: 10.2196/42754.","Wang B","JMIR Res Protoc","2022","2022/12/23","PMC9823571","","10.2196/42754"
"34806987","An Open-Source, Standard-Compliant, and Mobile Electronic Data Capture System for Medical Research (OpenEDC): Design and Evaluation Study","Greulich L, Hegselmann S, Dugas M.","JMIR Med Inform. 2021 Nov 19;9(11):e29176. doi: 10.2196/29176.","Greulich L","JMIR Med Inform","2021","2021/11/22","PMC8663450","","10.2196/29176"
"23620720","Multilingual Medical Data Models in ODM Format: A Novel Form-based Approach to Semantic Interoperability between Routine Healthcare and Clinical Research","Breil B, Kenneweg J, Fritz F, Bruland P, Doods D, Trinczek B, Dugas M.","Appl Clin Inform. 2012 Jul 11;3(3):276-89. doi: 10.4338/ACI-2012-03-RA-0011. Print 2012.","Breil B","Appl Clin Inform","2012","2013/04/27","PMC3613023","","10.4338/ACI-2012-03-RA-0011"
"31853911","One Step Away from Technology but One Step Towards Domain Experts-MDRBridge: A Template-Based ISO 11179-Compliant Metadata Processing Pipeline","Kock-Schoppenhauer AK, Kroll B, Lambarki M, Ulrich H, Stahl-Toyota S, Habermann JK, Duhm-Harbeck P, Ingenerf J, Lablans M.","Methods Inf Med. 2019 Dec;58(S 02):e72-e79. doi: 10.1055/s-0039-3399579. Epub 2019 Dec 18.","Kock-Schoppenhauer AK","Methods Inf Med","2019","2019/12/20","","","10.1055/s-0039-3399579"
"39974104","International Corneal and Ocular Surface Disease Dataset for Electronic Health Records","Ting DSJ, Kaye SB, Rauz S; International Corneal and Ocular Surface Disease (C&OSD) Dataset Development Working Group.","medRxiv [Preprint]. 2025 Jan 22:2025.01.18.25320772. doi: 10.1101/2025.01.18.25320772.","Ting DSJ","medRxiv","2025","2025/02/20","PMC11838979","","10.1101/2025.01.18.25320772"
"19745342","Foundations of a metadata repository for databases of registers and trials","Stausberg J, Löbe M, Verplancke P, Drepper J, Herre H, Löffler M.","Stud Health Technol Inform. 2009;150:409-13.","Stausberg J","Stud Health Technol Inform","2009","2009/09/12","","",""
"29726419","Towards a Single Data Exchange Standard for Use in Healthcare and in Clinical Research","Aerts J.","Stud Health Technol Inform. 2018;248:55-63.","Aerts J","Stud Health Technol Inform","2018","2018/05/05","","",""
"20841899","The REUSE project: EHR as single datasource for biomedical research","El Fadly A, Lucas N, Rance B, Verplancke P, Lastic PY, Daniel C.","Stud Health Technol Inform. 2010;160(Pt 2):1324-8.","El Fadly A","Stud Health Technol Inform","2010","2010/09/16","","",""
"25601296","CohortExplorer: A Generic Application Programming Interface for Entity Attribute Value Database Schemas","Dixit A, Dobson RJ.","JMIR Med Inform. 2014 Dec 1;2(2):e32. doi: 10.2196/medinform.3339.","Dixit A","JMIR Med Inform","2014","2015/01/21","PMC4288104","","10.2196/medinform.3339"
"27577417","Implementation of an ODM and HL7 Compliant Electronic Patient-Reported Outcome System","Soto-Rey I, Dugas M, Storck M.","Stud Health Technol Inform. 2016;228:421-5.","Soto-Rey I","Stud Health Technol Inform","2016","2016/09/01","","",""
"34042687","Facilitating Study and Item Level Browsing for Clinical and Epidemiological COVID-19 Studies","Schmidt CO, Darms J, Shutsko A, Löbe M, Nagrani R, Seifert B, Lindstädt B, Golebiewski M, Koleva S, Bender T, Bauer CR, Sax U, Hu X, Lieser M, Junker V, Klopfenstein S, Zeleke A, Waltemath D, Pigeot I, Fluck J; NFDI4Health Task Force COVID-19.","Stud Health Technol Inform. 2021 May 27;281:794-798. doi: 10.3233/SHTI210284.","Schmidt CO","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210284"
"23616864","Unlocking Data for Clinical Research - The German i2b2 Experience","Ganslandt T, Mate S, Helbing K, Sax U, Prokosch HU.","Appl Clin Inform. 2011 Mar 30;2(1):116-27. doi: 10.4338/ACI-2010-09-CR-0051. Print 2011.","Ganslandt T","Appl Clin Inform","2011","2013/04/26","PMC3631913","","10.4338/ACI-2010-09-CR-0051"
"26539547","Translational Medicine and Patient Safety in Europe: TRANSFoRm--Architecture for the Learning Health System in Europe","Delaney BC, Curcin V, Andreasson A, Arvanitis TN, Bastiaens H, Corrigan D, Ethier JF, Kostopoulou O, Kuchinke W, McGilchrist M, van Royen P, Wagner P.","Biomed Res Int. 2015;2015:961526. doi: 10.1155/2015/961526. Epub 2015 Oct 11.","Delaney BC","Biomed Res Int","2015","2015/11/06","PMC4619923","","10.1155/2015/961526"
"29295339","Integrating x4T-EDC into an Image-Portal to Establish an Ophthalmic Reading Center","Bruland P, Kathöfer U, Treder M, Eter N, Dugas M.","Stud Health Technol Inform. 2017;245:1254.","Bruland P","Stud Health Technol Inform","2017","2018/01/04","","",""
"34636733","Common Data Elements for Meaningful Stroke Documentation in Routine Care and Clinical Research: Retrospective Data Analysis","Berenspöhler S, Minnerup J, Dugas M, Varghese J.","JMIR Med Inform. 2021 Oct 12;9(10):e27396. doi: 10.2196/27396.","Berenspöhler S","JMIR Med Inform","2021","2021/10/12","PMC8548969","","10.2196/27396"
"28250964","Open-source mobile digital platform for clinical trial data collection in low-resource settings","van Dam J, Omondi Onyango K, Midamba B, Groosman N, Hooper N, Spector J, Pillai GC, Ogutu B.","BMJ Innov. 2017 Feb;3(1):26-31. doi: 10.1136/bmjinnov-2016-000164. Epub 2017 Jan 6.","van Dam J","BMJ Innov","2017","2017/03/03","PMC5293854","","10.1136/bmjinnov-2016-000164"
"28508783","Automatic Conversion of Metadata from the Study of Health in Pomerania to ODM","Hegselmann S, Gessner S, Neuhaus P, Henke J, Schmidt CO, Dugas M.","Stud Health Technol Inform. 2017;236:88-96.","Hegselmann S","Stud Health Technol Inform","2017","2017/05/17","","",""
"27736972","ODMSummary: A Tool for Automatic Structured Comparison of Multiple Medical Forms Based on Semantic Annotation with the Unified Medical Language System","Storck M, Krumm R, Dugas M.","PLoS One. 2016 Oct 13;11(10):e0164569. doi: 10.1371/journal.pone.0164569. eCollection 2016.","Storck M","PLoS One","2016","2016/10/14","PMC5063379","","10.1371/journal.pone.0164569"
"31407666","Core Data Elements in Acute Myeloid Leukemia: A Unified Medical Language System-Based Semantic Analysis and Experts' Review","Holz C, Kessler T, Dugas M, Varghese J.","JMIR Med Inform. 2019 Aug 12;7(3):e13554. doi: 10.2196/13554.","Holz C","JMIR Med Inform","2019","2019/08/14","PMC6709897","","10.2196/13554"
"27899162","Design of case report forms based on a public metadata registry: re-use of data elements to improve compatibility of data","Dugas M.","Trials. 2016 Nov 29;17(1):566. doi: 10.1186/s13063-016-1691-8.","Dugas M","Trials","2016","2016/12/01","PMC5129226","","10.1186/s13063-016-1691-8"
"32462639","Conceptual Design, Implementation, and Evaluation of Generic and Standard-Compliant Data Transfer into Electronic Health Records","Blitz R, Dugas M.","Appl Clin Inform. 2020 May;11(3):374-386. doi: 10.1055/s-0040-1710023. Epub 2020 May 27.","Blitz R","Appl Clin Inform","2020","2020/05/29","PMC7253309","","10.1055/s-0040-1710023"
"26004011","ODM2CDA and CDA2ODM: tools to convert documentation forms between EDC and EHR systems","Dugas M.","BMC Med Inform Decis Mak. 2015 May 26;15:40. doi: 10.1186/s12911-015-0163-5.","Dugas M","BMC Med Inform Decis Mak","2015","2015/05/26","PMC4494189","","10.1186/s12911-015-0163-5"
"34106072","Design and Implementation of an Informatics Infrastructure for Standardized Data Acquisition, Transfer, Storage, and Export in Psychiatric Clinical Routine: Feasibility Study","Blitz R, Storck M, Baune BT, Dugas M, Opel N.","JMIR Ment Health. 2021 Jun 9;8(6):e26681. doi: 10.2196/26681.","Blitz R","JMIR Ment Health","2021","2021/06/09","PMC8262601","","10.2196/26681"
"24747879","The need for harmonized structured documentation and chances of secondary use - results of a systematic analysis with automated form comparison for prostate and breast cancer","Krumm R, Semjonow A, Tio J, Duhme H, Bürkle T, Haier J, Dugas M, Breil B.","J Biomed Inform. 2014 Oct;51:86-99. doi: 10.1016/j.jbi.2014.04.008. Epub 2014 Apr 18.","Krumm R","J Biomed Inform","2014","2014/04/22","","","10.1016/j.jbi.2014.04.008"
"26534843","Integrated Data Repository Toolkit (IDRT). A Suite of Programs to Facilitate Health Analytics on Heterogeneous Medical Data","Bauer CR, Ganslandt T, Baum B, Christoph J, Engel I, Löbe M, Mate S, Stäubert S, Drepper J, Prokosch HU, Winter A, Sax U.","Methods Inf Med. 2016;55(2):125-35. doi: 10.3414/ME15-01-0082. Epub 2015 Nov 4.","Bauer CR","Methods Inf Med","2016","2015/11/05","","","10.3414/ME15-01-0082"
"31613917","EMR-integrated minimal core dataset for routine health care and multiple research settings: A case study for neuroinflammatory demyelinating diseases","von Martial S, Brix TJ, Klotz L, Neuhaus P, Berger K, Warnke C, Meuth SG, Wiendl H, Dugas M.","PLoS One. 2019 Oct 15;14(10):e0223886. doi: 10.1371/journal.pone.0223886. eCollection 2019.","von Martial S","PLoS One","2019","2019/10/16","PMC6793844","","10.1371/journal.pone.0223886"
"23246614","The ISO/IEC 11179 norm for metadata registries: does it cover healthcare standards in empirical research?","Ngouongo SM, Löbe M, Stausberg J.","J Biomed Inform. 2013 Apr;46(2):318-27. doi: 10.1016/j.jbi.2012.11.008. Epub 2012 Dec 14.","Ngouongo SM","J Biomed Inform","2013","2012/12/19","","","10.1016/j.jbi.2012.11.008"
"26262169","Standardized Cardiovascular Quality Assurance Forms with Multilingual Support, UMLS Coding and Medical Concept Analyses","Varghese J, Schulze Sünninghausen S, Dugas M.","Stud Health Technol Inform. 2015;216:837-41.","Varghese J","Stud Health Technol Inform","2015","2015/08/12","","",""
"23920826","Analyses of medical data models - identifying common concepts and items in a repository of medical forms","Breil B, Dugas M.","Stud Health Technol Inform. 2013;192:1052.","Breil B","Stud Health Technol Inform","2013","2013/08/08","","",""
"29295148","Case Report Form Reporter: A Key Component for the Integration of Electronic Medical Records and the Electronic Data Capture System","Matsumura Y, Hattori A, Manabe S, Takahashi D, Yamamoto Y, Murata T, Nakagawa A, Mihara N, Takeda T.","Stud Health Technol Inform. 2017;245:516-520.","Matsumura Y","Stud Health Technol Inform","2017","2018/01/04","","",""
"21893877","The single source architecture x4T to connect medical documentation and clinical research","Dziuballe P, Forster C, Breil B, Thiemann V, Fritz F, Lechtenbörger J, Vossen G, Dugas M.","Stud Health Technol Inform. 2011;169:902-6.","Dziuballe P","Stud Health Technol Inform","2011","2011/09/07","","",""
"26063252","Standardized quality assurance forms for organ transplantations with multilingual support, open access and UMLS coding","Varghese J, Sünninghausen SS, Dugas M.","Stud Health Technol Inform. 2015;212:15-22.","Varghese J","Stud Health Technol Inform","2015","2015/06/12","","",""
