Title,Authors,Publication Year,DOI
Integrated data repository toolkit (IDRT): A suite of programs to facilitate health analytics on heterogeneous medical data,Bauer C.R.K.D.; Ganslandt T.; Baum B.; Christoph J.; Engel I.; Löbe M.; Mate S.; Stäubert S.; Drepper J.; Prokosch H.-U.; Winter A.; Sax U.,2016,10.3414/ME15-01-0082
Open-source mobile digital platform for clinical trial data collection in low-resource settings,van Dam J.; Onyango K.O.; Midamba B.; Groosman N.; Hooper N.; Spector J.; Pillai G.C.; Ogutu B.,2017,10.1136/bmjinnov-2016-000164
Multilingual medical data models in ODM format: A novel form-based approach to semantic interoperability between routine healthcare and clinical research,Breil B.; Kenneweg J.; Fritz F.; Bruland P.; Doods D.; Trinczek B.; Dugas M.,2012,10.4338/ACI-2012-03-RA-0011
Ontological modelling and execution of phenotypic queries in the leipzig health Atlas,Uciteli A.; Beger C.; Wagner J.; Kiel A.; Meineke F.A.; Stäubert S.; Löbe M.; Hänsel R.; Schuster J.; Kirsten T.; Herre H.,2021,10.3233/SHTI210052
Standardising the development of ODM converters: The ODMToolBox,Soto-Rey I.; Neuhaus P.; Bruland P.; Gener S.; Varghese J.; Hegselmann S.; Brix T.; Dugas M.; Storck M.,2018,10.3233/978-1-61499-852-5-231
"Connecting clinical care and research: Single-source with x4T - Process design, architecture, and use cases",Forster C.; Bruland P.; Lechtenbörger J.; Breil B.; Vossen G.,2015,10.1515/itit-2014-1041
CEUR Workshop Proceedings,,2012,
The REUSE project: EHR as single datasource for biomedical research,El Fadly A.; Lucas N.; Rance B.; Verplancke P.; Lastic P.-Y.; Daniel C.,2010,10.3233/978-1-60750-588-4-1324
A presentation semantic for the Operational Data Model (ODM),Deserno T.M.; Haak D.; Harmsen M.; Geisler S.; Jarke M.,2017,10.1109/BHI.2017.7897309
"ODM Data Analysis—A tool for the automatic validation, monitoring and generation of generic descriptive statistics of patient data",Brix T.J.; Bruland P.; Sarfraz S.; Ernsting J.; Neuhaus P.; Storck M.; Doods J.; Ständer S.; Dugas M.,2018,10.1371/journal.pone.0199242
"An open-source, standard-compliant, and mobile electronic data capture system for medical research (openedc): Design and evaluation study",Greulich L.; Hegselmann S.; Dugas M.,2021,10.2196/29176
Current applications and future directions for the CDISC Operational Data Model standard: A methodological review,Hume S.; Aerts J.; Sarnikar S.; Huser V.,2016,10.1016/j.jbi.2016.02.016
Unlocking data for clinical research - The German i2b2 experience,Ganslandt T.; Mate S.; Helbing K.; Sax U.; Prokosch H.U.,2011,10.4338/ACI-2010-09-CR-0051
S2O - A software tool for integrating research data from general purpose statistic software into electronic data capture systems,Bruland P.; Dugas M.,2017,10.1186/s12911-016-0402-4
Automated import of clinical data from HL7 messages into open clinica and tran SMART using mirth connect,Rodriguez J.C.C.; Stäubert S.; Löbe M.,2017,10.3233/978-1-61499-678-1-317
Towards achieving semantic interoperability of clinical study data with FHIR,Leroux H.; Metke-Jimenez A.; Lawley M.J.,2017,10.1186/s13326-017-0148-7
Interoperability in clinical research: From metadata registries to semantically annotated CDISC ODM,Bruland P.; Breil B.; Fritz F.; Dugas M.,2012,10.3233/978-1-61499-101-4-564
Translational Medicine and Patient Safety in Europe: TRANSFoRm - Architecture for the Learning Health System in Europe,Delaney B.C.; Curcin V.; Andreasson A.; Arvanitis T.N.; Bastiaens H.; Corrigan D.; Ethier J.-F.; Kostopoulou O.; Kuchinke W.; McGilchrist M.; Royen P.V.; Wagner P.,2015,10.1155/2015/961526
A Comprehensive Clinical Research Database based on CDISC ODM and i2b2,Meineke F.A.; Staübert S.; Löbe M.; Winter A.,2014,10.3233/978-1-61499-432-9-1115
Web-based case report form design for clinical trial,Fu L.; Chen T.,2011,10.4028/www.scientific.net/AMM.39.19
